,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.22,0.86,0.9,0.77,0.79,0.4,0.36,0.41,0.37,0.36,0.32,0.28,0.3,0.34,0.23
e_1,0.82,1.0,0.93,1.19,0.88,0.61,0.55,0.45,0.47,0.62,0.4,0.5,0.38,0.39,0.34,0.37
d_1,1.16,1.08,1.0,0.91,0.87,0.61,0.5,0.6,0.34,0.4,0.42,0.39,0.35,0.29,0.26,0.34
c_1,1.12,0.84,1.1,1.0,1.2,0.71,0.57,0.36,0.41,0.31,0.33,0.36,0.36,0.31,0.35,0.29
b_1,1.28,1.13,1.15,0.84,1.0,1.18,0.61,0.53,0.47,0.5,0.53,0.44,0.45,0.38,0.34,0.33
a_1,1.27,1.66,1.64,1.4,0.84,1.0,0.69,0.66,0.73,0.67,0.62,0.57,0.53,0.46,0.5,0.44
h_1,2.53,1.74,2.03,1.79,1.61,1.37,1.0,0.8,1.02,0.86,0.88,0.72,0.67,0.59,0.8,0.61
c_0,2.78,2.22,1.57,2.69,1.85,1.55,1.27,1.0,1.18,1.27,1.34,0.93,0.84,0.89,0.69,0.7
g_1,2.39,2.2,2.86,2.35,2.26,1.35,0.98,0.84,1.0,0.86,0.88,0.99,0.61,0.81,0.6,0.79
d_0,2.6,1.52,2.78,3.34,2.02,1.63,1.19,0.8,1.15,1.0,0.97,0.9,0.86,0.81,0.89,0.77
b_0,2.89,2.36,2.44,3.17,1.95,1.49,1.15,0.74,1.16,1.08,1.0,0.95,0.92,1.36,0.87,0.81
f_0,3.13,2.08,2.61,2.76,2.24,1.74,1.44,1.04,0.96,1.07,0.92,1.0,0.87,0.96,0.6,1.21
h_0,3.65,2.66,2.8,2.7,2.34,1.77,1.46,1.15,1.71,1.17,1.06,1.06,0.99,0.86,1.01,0.7
a_0,3.43,2.47,3.46,3.17,2.7,1.91,1.78,1.16,1.22,1.26,0.8,1.08,1.21,1.0,1.08,1.09
g_0,2.91,2.83,3.85,3.0,2.87,1.82,1.23,1.46,1.69,1.15,1.16,1.69,1.0,0.86,1.0,1.0
e_0,4.4,3.0,2.93,3.47,2.77,2.27,1.66,1.43,1.2,1.23,1.24,0.82,1.38,0.96,0.98,1.0
