,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,10738.22,3931.12,3371.45,5090.57,6366.24,34579.85,4698935.31,15685519.39,12471248.73,17741607.73,28862881.43,30004767.36,117582296.22,144950511.34,217953168.72,108964632.98
f_1,5397.67,15110.93,3959.77,4006.18,5116.01,22536.18,3606450.14,9676375.71,9927966.18,16442420.89,26395012.45,12960791.77,110072285.04,110331700.62,207903849.72,103390166.99
d_1,2557.07,4126.83,17512.78,3639.75,6114.13,29563.28,4875738.63,5097477.7,11228760.49,29939700.65,34363696.82,34083701.16,123671197.1,125866550.75,242094300.03,201868589.11
c_1,2442.04,3708.88,4020.12,18710.59,11290.71,31242.55,4458484.75,9056715.19,11258547.08,7121647.51,21320159.46,24767365.08,126699582.89,99032330.22,215284604.73,209446856.53
b_1,2425.95,3383.9,4464.28,4223.01,30130.37,63332.89,4127879.95,8395293.02,10860060.2,15891520.29,13261158.17,33475922.91,106580147.75,81324396.98,190335071.8,208184610.03
a_1,2419.74,3805.83,4622.16,5146.81,6658.2,215593.56,4326559.43,9397688.47,10814968.27,19751028.03,30250336.6,34297843.49,113282234.36,62467035.08,205739655.94,189673640.64
h_1,3047.02,6250.11,5580.56,4695.73,6405.64,33927.45,13590043.33,12278553.47,19365794.02,19633802.01,28636414.01,34668692.48,93132228.92,158312104.79,463187891.46,259389586.0
d_0,3448.09,4307.65,2743.56,10590.97,8195.05,40667.81,5095656.44,20912866.71,13605690.37,14067646.19,33537412.73,35275194.58,163277790.3,129623353.92,251213034.64,215655958.56
g_1,2772.75,3717.98,8205.29,5443.96,7337.6,27000.62,5170551.74,9187756.26,46211316.81,19615007.46,36114713.21,63073078.8,146060401.69,160522424.12,187022607.23,279062820.67
c_0,3324.93,5070.34,5073.72,4440.81,6732.34,38422.64,5365650.66,12554137.44,16330321.32,39975901.07,70238500.82,38228875.36,168699780.14,194033916.27,319589199.88,259737493.09
b_0,4084.34,5222.84,4925.38,5815.42,5135.6,19986.64,6878256.26,11081881.85,17629767.57,20408094.57,78763371.63,44065226.89,185696368.46,359497819.75,262106522.17,204082096.8
f_0,2563.69,2598.12,6127.36,6166.59,8502.34,38656.48,5947569.23,11480393.94,17250241.37,18966887.78,34106290.85,81730776.2,167097356.79,158269413.89,343327515.74,613708266.06
h_0,3476.25,6112.07,4687.29,6121.68,8835.38,27043.69,3685641.08,10460551.74,20867262.81,18336538.6,37405459.45,35973897.59,94045726.86,155906366.78,322100552.86,264134962.6
a_0,3168.56,5535.67,6410.33,5312.75,6615.57,16210.08,6503843.68,12250594.21,16561875.1,20223411.97,36267753.9,43546496.8,197568105.68,419126911.49,377920707.06,258946735.55
g_0,2747.79,3775.82,8634.14,5450.94,8135.62,37486.49,4619785.31,8531603.82,10132285.17,21651619.03,35431495.3,56982217.56,142776442.47,123687369.2,246812113.74,292085752.3
e_0,1942.61,5573.48,6857.5,5922.15,7175.11,35416.16,5925376.81,11136776.62,16303767.95,21738043.56,41943924.05,40990630.51,176184263.65,170708873.85,328590939.47,670079078.8
