,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.27,0.9,0.91,0.77,0.62,0.4,0.42,0.43,0.37,0.35,0.41,0.26,0.31,0.27,0.31
e_1,0.78,1.0,0.96,1.0,0.93,0.68,0.49,0.5,0.6,0.43,0.48,0.46,0.36,0.37,0.39,0.32
d_1,1.12,1.05,1.0,0.87,0.8,0.67,0.48,0.4,0.48,0.54,0.37,0.37,0.36,0.31,0.37,0.24
c_1,1.09,1.0,1.14,1.0,1.28,0.7,0.49,0.49,0.31,0.27,0.42,0.32,0.34,0.35,0.34,0.3
b_1,1.3,1.07,1.24,0.79,1.0,1.2,0.66,0.55,0.53,0.45,0.41,0.46,0.45,0.29,0.37,0.32
a_1,1.62,1.5,1.49,1.43,0.83,1.0,0.68,0.6,0.49,0.67,0.6,0.61,0.54,0.44,0.45,0.41
h_1,2.41,2.0,2.12,1.98,1.52,1.46,1.0,1.07,0.9,0.71,0.71,0.78,0.65,0.66,0.58,0.7
g_1,2.31,2.05,2.53,2.13,1.81,1.53,0.95,1.0,0.85,0.92,1.06,0.8,0.55,0.84,0.79,0.53
d_0,2.38,1.72,2.26,3.21,1.83,2.11,1.15,1.21,1.0,0.82,1.04,0.8,0.79,0.84,0.58,0.76
c_0,2.77,2.27,1.87,3.11,2.09,1.56,1.39,1.1,1.21,1.0,0.89,1.37,0.89,0.97,0.88,0.69
f_0,2.64,2.01,2.63,2.58,2.35,1.78,1.4,0.94,0.95,1.09,1.0,0.82,0.94,0.81,1.18,0.69
b_0,2.55,2.16,2.48,3.25,2.43,1.63,1.28,1.18,1.2,0.73,1.17,1.0,0.94,1.39,0.77,0.8
h_0,3.87,2.84,2.74,2.81,2.25,1.8,1.6,1.87,1.25,1.11,1.08,1.1,1.0,0.92,0.79,1.1
a_0,2.95,2.68,3.48,2.94,3.39,1.92,1.53,1.23,1.2,1.02,1.27,0.77,1.07,1.0,1.08,0.99
e_0,3.6,2.93,2.69,2.74,2.78,2.36,1.74,1.19,1.71,1.13,0.87,1.27,1.31,0.98,1.0,0.74
g_0,3.27,3.08,3.97,3.46,3.15,2.41,1.45,1.87,1.31,1.47,1.51,1.28,0.93,1.06,1.31,1.0
