,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.53,1.32,0.86,0.92,0.81,0.62,0.89,0.92,1.04,0.85,0.98,0.68,0.84,0.93,0.97,0.64
e_1,0.86,1.53,0.84,1.02,0.78,0.75,1.25,0.96,1.63,1.1,1.17,1.12,1.06,1.12,1.07,0.78
d_1,0.99,0.93,1.55,0.79,0.77,0.78,1.02,0.87,0.77,1.69,1.28,1.12,0.95,1.13,0.98,0.95
c_1,0.93,0.88,0.94,1.57,1.35,0.75,0.91,0.83,0.88,0.75,0.74,0.87,0.9,1.09,0.96,0.76
b_1,0.94,0.93,1.0,0.8,1.63,1.3,1.05,1.04,1.06,0.99,0.69,1.0,0.75,1.16,1.03,0.89
a_1,1.09,0.94,1.05,0.97,0.82,1.73,1.22,1.15,1.14,1.13,1.07,1.09,0.86,1.59,1.16,0.95
h_1,1.49,1.01,1.13,1.2,0.94,0.8,1.82,1.47,1.4,1.32,1.27,1.16,1.03,1.19,1.6,1.15
g_1,1.1,1.09,1.67,1.17,0.93,0.96,1.09,1.9,1.09,1.29,1.22,1.61,0.98,1.21,1.33,1.08
d_0,1.21,0.96,0.98,1.83,1.16,0.91,1.3,1.29,1.74,0.98,1.25,1.22,1.2,1.47,1.28,1.08
c_0,1.42,1.2,1.02,1.09,0.92,0.9,1.37,1.46,1.64,1.78,2.4,1.44,1.46,1.53,1.33,1.33
b_0,1.43,1.16,1.15,1.4,1.07,0.81,1.4,1.47,1.43,1.13,1.78,1.11,2.07,1.73,1.46,1.14
f_0,1.23,1.08,1.24,1.35,1.19,1.08,1.57,1.12,1.57,1.33,1.5,1.84,1.19,1.58,1.38,2.29
a_0,1.56,1.16,1.25,1.27,1.14,0.82,1.59,1.56,1.49,1.35,1.37,1.41,1.88,1.5,1.5,1.12
h_0,1.75,1.3,1.34,1.25,1.1,0.75,1.13,1.7,1.29,1.29,1.27,1.32,1.24,1.29,1.68,1.1
g_0,1.31,1.22,1.61,1.28,1.12,1.14,1.42,1.09,1.41,1.35,1.28,1.87,1.34,1.54,1.23,1.32
e_0,1.48,1.11,1.33,1.56,1.14,1.0,1.34,1.57,1.37,1.37,1.5,0.98,1.4,1.7,1.48,1.9
