,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.5,0.7,0.73,0.88,0.65,0.61,0.88,1.39,0.95,0.8,0.92,0.87,0.87,0.73,0.95,0.48
f_1,1.17,1.51,0.71,0.68,0.61,0.52,0.8,0.89,0.83,0.84,0.74,0.56,0.77,0.69,0.86,0.48
d_1,0.73,0.89,1.52,0.59,0.66,0.55,0.86,0.77,1.35,0.8,0.98,0.85,1.01,0.78,0.88,0.81
c_1,0.69,0.8,0.77,1.57,1.04,0.67,0.88,0.79,0.46,0.64,0.68,0.84,0.88,0.71,0.92,0.83
b_1,0.85,0.85,0.73,0.77,1.63,0.9,0.84,0.9,0.85,0.69,0.52,0.81,1.03,0.7,0.78,0.75
a_1,0.81,0.87,0.99,0.77,0.71,1.81,1.09,0.91,0.95,0.87,1.16,0.83,1.24,0.52,0.94,0.72
h_1,1.03,1.28,1.08,0.95,0.78,0.61,1.76,1.0,1.1,1.31,1.16,1.01,0.93,0.92,1.39,1.0
d_0,0.86,1.06,0.79,1.67,0.95,0.82,1.19,1.59,1.09,1.15,1.23,1.18,1.36,0.94,1.06,0.95
c_0,1.07,1.11,1.03,0.9,0.78,0.65,1.21,1.29,1.65,1.13,1.98,1.21,1.43,1.28,1.26,1.05
g_1,0.99,0.93,1.51,1.06,0.83,0.61,1.01,1.02,1.31,1.83,1.15,1.34,1.24,1.04,1.14,1.05
b_0,0.87,1.27,1.05,1.15,0.71,0.6,1.3,1.34,1.11,1.18,1.71,1.27,1.43,1.75,1.25,1.04
f_0,0.79,0.95,1.22,1.17,0.99,0.85,1.37,1.18,1.29,1.16,1.22,1.74,1.4,1.11,1.23,2.05
h_0,1.08,1.43,1.15,1.06,0.98,0.73,1.0,1.18,1.28,1.37,1.12,1.06,1.11,1.03,1.51,0.96
a_0,1.07,1.2,1.31,0.96,1.0,0.67,1.19,1.46,1.37,1.19,1.32,1.35,1.39,1.79,1.42,1.25
g_0,0.96,1.11,1.56,1.01,1.09,0.82,1.18,1.22,1.12,0.89,1.21,1.61,1.34,0.79,0.97,1.21
e_0,0.86,1.33,1.32,1.08,1.11,0.97,1.49,1.31,1.1,1.24,1.35,1.03,1.45,0.93,1.33,1.76
