,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.06,1.52,2.42,2.26,2.17,2.13,1.01,0.84,0.9,0.66,0.72,0.66,0.58,0.57,0.51,0.91
f_1,2.47,1.06,2.38,1.91,2.36,2.03,0.7,0.72,0.8,0.68,0.7,0.56,0.37,0.52,0.54,0.51
c_1,1.98,2.51,1.06,2.91,2.84,2.02,0.86,0.46,0.79,0.91,0.65,0.66,0.65,0.64,0.62,0.55
d_1,2.88,2.73,2.28,1.06,2.35,1.72,0.85,1.35,0.65,0.79,0.66,0.8,0.57,0.63,0.39,0.56
b_1,2.89,2.77,1.67,2.77,1.07,2.71,1.11,0.84,1.11,0.82,0.88,1.17,0.62,0.76,0.5,0.6
a_1,3.69,3.4,3.56,3.96,1.78,1.07,1.4,1.25,1.19,1.22,1.17,1.59,0.84,1.39,0.94,1.36
h_1,5.77,6.9,6.3,5.29,5.24,5.25,1.34,1.77,2.18,1.49,1.39,1.45,1.45,1.37,1.33,1.24
d_0,4.03,7.52,8.15,8.32,7.38,5.47,2.7,1.53,2.49,1.91,1.77,1.61,1.68,1.7,1.5,1.65
g_1,6.87,8.17,7.44,7.08,6.32,5.64,2.15,2.34,1.36,1.98,2.08,1.93,1.29,2.2,1.89,1.6
c_0,7.64,7.35,13.32,4.49,7.3,6.48,3.05,3.33,2.85,1.52,2.1,2.37,1.58,2.28,1.55,1.71
f_0,7.7,14.28,8.06,7.77,7.29,6.26,3.13,2.59,2.08,2.18,1.58,2.24,1.95,2.0,1.24,2.64
b_0,8.88,9.39,9.86,6.69,11.29,6.09,3.35,2.89,3.42,1.48,2.23,1.5,1.82,2.34,1.65,1.97
h_0,9.58,11.66,8.25,8.73,8.95,8.37,5.65,3.08,3.65,3.0,2.56,2.78,2.89,2.59,2.35,2.09
a_0,10.42,12.22,11.17,11.31,11.42,12.77,4.1,3.08,3.39,2.98,2.88,1.82,2.34,1.58,2.33,2.29
g_0,11.65,12.01,10.11,10.68,11.88,9.88,3.83,3.71,5.79,3.18,3.41,3.24,1.95,2.94,2.7,2.62
e_0,14.56,15.1,12.03,11.48,12.16,7.95,4.48,3.45,5.2,3.66,1.84,3.24,2.7,2.85,2.28,1.69
