,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,15.98,0.62,0.43,0.64,0.5,0.49,0.81,0.97,2.2,1.01,1.02,0.99,0.88,1.11,0.97,0.69
f_1,1.11,14.93,0.61,0.58,0.43,0.62,1.0,0.7,0.83,0.71,0.99,0.35,0.93,0.74,1.03,0.54
d_1,0.51,0.62,17.34,0.43,0.57,0.62,0.93,0.96,0.35,2.24,1.22,0.99,1.04,0.99,0.9,0.84
c_1,0.54,0.6,0.52,17.09,1.29,0.41,0.8,0.73,0.86,0.32,0.56,0.9,0.83,1.0,0.88,0.95
b_1,0.53,0.56,0.59,0.54,21.45,1.25,0.75,0.73,0.69,0.66,0.34,0.91,0.79,0.9,0.78,0.87
a_1,0.44,0.51,0.6,0.75,0.51,31.63,1.05,0.93,0.91,0.97,0.99,0.89,0.39,1.15,0.93,1.42
h_1,0.76,1.11,0.67,0.73,0.77,0.45,4.9,1.54,1.1,1.19,1.28,1.19,1.12,0.84,1.65,1.32
g_1,0.6,0.43,1.37,0.83,0.63,0.78,1.05,5.34,0.84,1.25,1.05,2.52,1.1,0.95,0.8,1.39
d_0,0.64,0.72,0.48,1.77,0.62,0.68,0.96,1.17,2.97,0.7,1.11,1.35,0.9,1.14,1.13,1.4
c_0,0.65,0.87,0.92,0.46,0.46,0.76,1.02,1.19,1.08,3.09,3.06,1.49,1.51,1.42,1.21,1.13
b_0,0.63,0.88,0.81,0.87,0.37,0.83,1.1,1.36,1.09,1.09,3.77,1.5,3.03,1.39,1.5,1.22
f_0,0.45,0.41,1.05,0.88,0.67,0.78,1.58,1.57,1.29,1.26,1.35,3.87,1.52,1.43,1.19,3.35
a_0,0.68,0.79,1.17,0.76,0.71,0.36,1.3,1.25,1.06,0.98,1.54,1.3,4.23,1.05,1.51,1.47
h_0,0.62,1.27,0.88,0.73,0.71,0.72,0.64,1.44,0.85,1.0,1.05,1.0,1.35,0.58,1.79,1.03
g_0,0.58,0.63,1.35,0.58,0.83,0.64,1.01,1.0,1.21,1.29,1.09,2.34,1.32,1.45,0.82,1.47
e_0,0.3,0.99,0.91,0.95,0.91,0.72,1.3,1.17,1.2,1.18,1.05,1.39,1.16,1.19,1.31,4.46
