,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,12.9,1.59,0.56,0.61,0.58,0.5,0.8,0.96,0.72,0.75,0.83,0.53,0.89,1.01,0.88,0.83
e_1,0.69,11.57,0.51,1.02,0.6,0.57,0.97,2.21,0.9,0.93,1.07,1.02,0.83,0.95,0.94,0.6
d_1,0.64,0.63,16.21,0.43,0.58,0.75,0.9,0.5,0.92,2.38,1.26,1.15,1.18,0.96,1.04,1.06
c_1,0.69,0.52,0.69,13.11,1.58,0.7,0.8,0.7,1.0,0.42,0.54,0.93,1.12,0.9,0.84,0.87
b_1,0.57,0.53,0.65,0.8,15.36,1.68,0.83,0.85,0.87,0.83,0.58,0.91,0.89,0.67,0.98,0.92
a_1,0.7,0.61,0.7,0.66,0.6,22.7,1.19,0.96,1.0,0.99,1.27,0.99,1.0,0.76,1.04,1.0
h_1,1.18,0.64,0.78,0.8,0.69,0.7,3.82,1.01,1.48,0.92,1.04,0.96,0.78,1.01,1.64,1.09
d_0,0.78,0.67,0.47,2.2,0.77,0.54,1.18,2.18,0.85,0.69,0.94,1.17,1.04,1.09,1.22,1.26
g_1,0.74,0.56,1.71,0.65,0.64,0.71,0.94,0.62,4.67,0.96,1.05,1.94,1.01,1.0,0.7,1.15
c_0,0.87,0.8,1.04,0.49,0.42,0.61,1.19,1.12,0.99,2.66,3.65,1.13,1.24,1.74,1.34,1.38
b_0,0.87,0.79,1.06,0.69,0.35,0.48,1.41,1.25,1.16,1.34,2.81,1.38,1.2,3.3,1.44,1.42
f_0,0.49,0.53,0.92,0.76,0.96,0.73,1.38,1.22,1.21,1.21,1.27,2.69,1.23,1.11,1.04,3.32
h_0,1.2,0.63,0.87,0.72,0.85,0.57,0.74,0.82,1.77,0.83,0.97,1.1,0.89,1.06,1.52,1.03
a_0,0.88,0.73,0.92,0.86,0.7,0.47,1.35,1.23,1.09,1.0,1.16,1.14,1.27,3.05,1.12,1.12
g_0,0.62,0.66,1.5,0.81,0.7,0.82,1.02,0.92,0.81,1.03,1.2,1.95,1.16,0.98,0.7,1.36
e_0,0.93,0.41,1.05,0.71,0.77,0.7,1.45,0.92,1.46,1.04,1.28,1.15,1.42,1.08,1.09,4.4
