,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,9543.56,279.45,177.85,346.93,356.83,2583.73,199678.17,366691.56,633062.97,796466.51,,1277131.11,9060900.92,2778170.86,4093795.73,13747817.06
e_1,135.36,11728.97,141.02,351.79,273.45,1958.33,188742.18,406813.52,625040.33,1743127.03,1038828.44,1266072.16,7082308.94,,5119760.4,16819454.06
d_1,133.97,130.24,12506.91,326.58,509.54,2603.03,161737.94,299630.69,1529742.74,,1019175.92,986299.28,5379349.22,5864416.11,4320778.46,12617454.14
c_1,148.78,137.19,136.4,30304.92,740.56,2959.65,181388.89,387524.72,,1037038.31,941997.42,1059747.1,6422154.51,5116300.47,5158376.18,16569729.97
b_1,133.15,130.96,184.36,326.27,33949.9,4692.04,173554.87,411604.07,493819.04,1265973.66,1405064.8,,5108884.92,4406687.59,5979440.0,16947485.47
a_1,129.5,106.14,177.68,313.4,350.79,379785.55,213416.8,271816.42,730846.9,1331071.25,780866.28,,7492513.59,,,18730137.35
h_1,656.19,537.83,623.5,1226.06,1326.59,9213.99,8662782.08,1649835.63,1960552.9,3934383.3,5159251.63,3122704.93,,13971992.46,32118123.09,85974831.38
g_1,496.39,534.0,975.2,1034.73,1158.18,9874.4,780870.5,22066551.56,1663350.67,2371712.75,6711234.07,4910659.08,19839331.77,17968113.49,20078434.38,
c_0,780.75,755.66,696.22,,1949.01,8591.69,888490.47,1930407.23,19968922.96,4930283.89,5083482.67,9816380.33,37180044.83,26457572.85,30716846.4,100911086.88
d_0,747.61,784.64,,3475.19,1685.58,10881.86,917910.68,1899769.34,2675623.34,31651324.31,4425555.34,5195217.13,39645816.96,35642460.23,25287999.79,88614636.56
f_0,,763.83,912.34,1853.83,1740.33,8988.23,621943.33,1207059.23,3718782.21,5079686.43,39534303.18,6555939.72,45749159.92,,27849940.73,95304915.39
b_0,564.8,902.71,764.39,1255.82,,,1214270.31,2036912.45,2550022.09,7111561.0,5959945.2,35362341.54,44545234.66,31348215.1,62662366.65,72431735.69
h_0,1349.71,1393.9,1308.13,2400.83,1919.48,18257.35,,3894097.33,5636767.57,7768932.19,7975809.02,7690958.7,,,34940412.78,169446533.39
e_0,581.12,,579.89,1230.58,1279.01,,1262415.48,1885082.29,4529012.22,2986549.31,,5256132.58,,288483028.22,48610567.09,95257023.47
a_0,726.49,607.37,1065.68,1661.49,1859.72,,777136.12,2328923.65,3608045.76,2874914.88,5212986.37,4906340.11,31591125.91,29453009.26,327778738.47,94148180.27
g_0,611.87,1295.56,1602.75,2591.38,2658.83,21638.34,1336849.09,,4987890.43,4280106.16,13271915.01,8608809.74,49996340.7,29530927.27,50284615.21,
