,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.13,2.76,6.25,6.14,5.45,5.2,1.64,1.66,1.22,1.01,0.97,1.39,1.13,0.75,1.76,0.71
f_1,4.58,1.13,5.71,5.79,5.22,4.99,1.15,1.73,1.13,1.27,1.13,2.93,1.12,0.54,0.94,1.05
c_1,5.0,5.08,1.13,6.61,6.11,5.74,2.11,1.75,0.66,1.16,2.49,1.12,1.07,0.79,1.12,0.91
d_1,6.13,6.81,6.31,1.12,6.18,5.24,1.47,1.01,3.84,1.04,1.05,1.1,1.04,0.77,1.09,0.49
b_1,7.89,7.29,3.54,6.28,1.13,7.0,1.72,2.12,1.25,3.93,1.78,1.18,1.28,1.05,1.49,1.34
a_1,7.42,11.06,9.67,8.72,4.15,1.14,3.4,3.24,2.18,2.49,1.78,2.43,5.49,1.55,2.08,1.41
h_1,20.28,22.87,17.65,14.73,16.63,12.49,1.74,5.04,3.98,3.5,3.66,3.58,4.09,5.0,3.69,3.26
g_1,26.41,23.35,20.57,17.11,24.87,20.17,4.56,1.78,5.45,4.66,4.09,4.44,5.35,2.2,4.59,6.71
d_0,13.02,21.82,22.91,33.33,27.77,23.15,6.67,7.98,2.37,5.63,4.32,5.37,4.79,3.9,5.22,3.79
b_0,22.8,23.35,29.1,15.67,62.17,22.67,6.62,6.53,4.49,2.2,2.47,4.51,4.3,3.25,3.88,2.57
c_0,25.85,24.37,64.6,12.51,25.77,26.18,6.89,7.54,7.5,4.24,2.38,5.21,4.48,3.94,4.88,3.46
f_0,29.37,81.44,20.31,24.17,30.43,33.32,8.87,4.64,5.84,4.7,5.52,2.16,5.42,4.1,4.42,2.31
a_0,37.46,37.52,32.63,34.04,51.07,59.43,10.83,13.72,8.25,3.52,5.89,6.39,2.56,5.06,5.08,4.53
h_0,35.99,34.42,35.49,39.09,31.43,32.34,16.04,11.06,6.8,6.82,7.02,7.56,5.64,10.0,5.53,5.45
e_0,73.42,47.7,39.39,31.35,44.69,42.29,8.34,9.03,8.05,8.31,6.87,3.68,7.87,7.19,2.74,5.45
g_0,40.79,44.52,39.39,42.21,39.18,39.98,8.1,20.18,11.0,8.42,8.35,8.52,7.07,5.0,6.96,7.59
