,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.5,0.15,0.31,0.19,0.14,0.17,0.19,0.18,0.19,0.21,,0.2,0.18,0.19,0.19,
d_1,0.21,1.51,0.18,0.14,0.15,,0.2,0.19,,0.32,0.21,0.2,0.27,0.16,0.16,0.12
e_1,0.13,0.13,1.51,0.16,0.17,0.14,0.22,0.15,0.28,0.23,0.21,0.21,0.27,0.21,0.11,
c_1,0.17,0.19,0.17,1.53,0.26,,0.18,0.16,0.21,,0.19,0.18,0.24,0.19,0.16,0.21
b_1,0.21,0.18,0.16,0.16,1.57,0.2,0.21,0.17,0.21,0.2,0.19,,0.22,0.22,,0.2
a_1,0.15,,0.18,,0.15,1.75,0.23,0.18,0.2,0.24,0.21,0.2,0.23,,,
h_1,0.52,0.33,0.35,0.44,0.33,0.28,1.63,0.57,0.45,0.37,0.4,0.41,,0.65,0.35,0.45
g_1,0.36,0.47,0.44,0.4,0.33,0.32,0.33,1.72,0.49,0.54,0.68,0.49,0.44,,0.32,0.41
d_0,0.49,,0.46,0.67,0.43,0.43,0.63,0.54,1.45,0.5,0.36,0.46,0.57,0.5,0.48,0.42
c_0,0.29,0.4,0.38,,0.46,0.44,0.69,0.53,0.59,1.43,0.62,0.85,0.71,0.51,0.57,0.45
f_0,,0.45,0.42,0.46,0.54,0.4,0.59,0.4,0.53,0.6,1.48,0.62,0.51,0.57,0.45,0.86
b_0,0.53,0.58,0.38,0.49,,0.38,0.56,0.42,0.73,0.38,0.49,1.46,0.75,0.53,0.73,0.55
h_0,0.97,0.57,0.53,0.49,0.61,0.47,,0.92,0.62,0.6,0.81,0.5,,1.0,0.46,0.49
g_0,0.59,0.99,0.57,0.64,0.47,,0.65,,0.79,0.83,0.88,0.72,0.49,,0.5,0.54
a_0,0.43,0.48,0.6,0.56,,,0.69,0.63,0.51,0.46,0.64,0.41,0.75,0.64,1.67,
e_0,,0.69,,0.39,0.37,,0.61,0.54,0.62,0.6,0.39,0.61,0.75,0.71,,1.64
