,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.07,5.69,9.36,9.66,9.56,6.38,3.01,2.88,3.68,2.78,2.5,3.06,1.71,1.62,,1.86
f_1,11.71,1.07,10.23,9.1,7.67,7.7,2.36,2.68,4.19,2.49,2.23,,2.6,1.4,2.33,2.48
d_1,10.64,9.14,1.07,10.77,7.4,8.81,3.61,,2.25,3.27,2.78,2.34,3.09,2.33,2.06,1.49
c_1,9.36,10.56,10.53,1.07,10.3,8.79,3.29,1.89,3.77,,3.04,2.6,2.44,2.53,2.71,2.1
b_1,9.85,11.87,11.93,7.37,1.07,11.14,3.99,3.67,4.36,3.55,,3.65,3.45,2.68,2.37,
a_1,18.52,17.39,15.82,11.72,8.79,1.07,5.24,4.24,,4.62,,4.89,,2.81,2.97,3.71
h_1,14.24,15.41,11.75,15.52,12.38,11.87,1.41,4.09,4.27,3.61,3.01,3.59,2.97,,4.25,3.18
d_0,9.58,16.19,,15.86,12.72,15.43,6.49,1.72,5.94,4.35,3.64,3.38,4.52,2.74,3.93,3.81
g_1,16.06,15.87,20.03,17.81,17.63,,6.94,3.81,1.41,4.8,4.57,5.4,4.11,3.51,4.88,
c_0,17.26,13.97,9.35,,16.03,13.28,5.88,5.12,4.71,1.72,5.24,3.86,4.23,3.63,4.05,3.53
b_0,17.17,18.31,17.31,18.07,,,6.39,4.4,5.76,3.25,1.73,5.45,,4.07,3.84,2.92
f_0,18.71,,19.27,21.48,15.02,14.1,7.57,6.8,4.64,4.89,4.53,1.78,4.23,4.52,5.77,2.3
a_0,29.76,18.61,20.24,20.59,21.53,,7.82,5.79,7.7,7.05,,5.2,1.68,4.91,5.01,
h_0,19.09,18.99,15.82,14.39,15.44,17.7,,5.33,5.0,4.88,5.29,3.88,4.6,,3.61,3.98
e_0,,32.19,19.12,20.53,22.44,17.38,7.62,7.5,6.69,6.87,8.08,3.5,6.22,6.37,1.76,4.99
g_0,17.58,22.2,20.84,15.04,,17.76,7.05,6.13,,5.16,7.63,5.64,,3.02,4.5,
