,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.4,0.41,0.61,0.7,0.63,0.56,0.33,0.33,0.35,0.26,0.32,0.29,0.25,0.33,0.24,0.27
f_1,0.66,0.39,0.54,0.63,0.56,0.49,0.25,0.32,0.34,0.26,0.32,0.26,0.19,0.24,0.27,0.25
d_1,0.64,0.67,0.38,0.58,0.55,0.55,0.29,0.32,0.23,0.31,0.26,0.29,0.21,0.25,0.25,0.16
c_1,0.49,0.62,0.72,0.39,0.67,0.55,0.32,0.19,0.31,0.29,0.26,0.23,0.23,0.24,0.25,0.24
b_1,0.57,0.72,0.62,0.41,0.36,0.71,0.33,0.25,0.33,0.35,0.27,0.32,0.24,0.28,0.24,0.22
a_1,0.64,0.74,0.63,0.58,0.36,0.31,0.37,0.31,0.32,0.29,0.26,0.4,0.23,0.31,0.34,0.23
h_1,0.55,0.61,0.57,0.55,0.56,0.51,0.23,0.25,0.36,0.24,0.24,0.24,0.23,0.22,0.21,0.23
d_0,0.41,0.5,0.66,0.69,0.67,0.52,0.35,0.23,0.38,0.23,0.26,0.25,0.22,0.29,0.27,0.26
g_1,0.58,0.56,0.65,0.61,0.56,0.56,0.24,0.24,0.22,0.26,0.26,0.23,0.17,0.23,0.21,0.21
c_0,0.61,0.55,0.4,0.77,0.55,0.64,0.33,0.36,0.3,0.22,0.26,0.32,0.22,0.26,0.25,0.22
f_0,0.51,0.6,0.62,0.58,0.59,0.53,0.31,0.26,0.24,0.25,0.21,0.24,0.21,0.32,0.25,0.16
b_0,0.52,0.55,0.49,0.77,0.67,0.5,0.31,0.27,0.33,0.17,0.25,0.2,0.22,0.26,0.29,0.24
h_0,0.55,0.57,0.58,0.57,0.55,0.49,0.35,0.27,0.36,0.25,0.26,0.26,0.23,0.22,0.25,0.23
e_0,0.58,0.66,0.56,0.59,0.53,0.48,0.31,0.27,0.29,0.28,0.17,0.23,0.22,0.18,0.28,0.2
a_0,0.56,0.54,0.54,0.66,0.71,0.6,0.31,0.25,0.32,0.21,0.24,0.15,0.24,0.2,0.18,0.2
g_0,0.57,0.56,0.6,0.55,0.56,0.53,0.25,0.25,0.34,0.25,0.27,0.25,0.19,0.24,0.25,0.22
