,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.96,0.55,0.55,0.69,0.58,0.39,0.4,0.42,0.6,0.36,0.41,0.33,0.37,0.28,0.28,0.31
d_1,0.67,0.96,0.66,0.48,0.5,0.42,0.41,0.38,0.33,0.54,0.35,0.41,0.36,0.27,0.29,0.27
f_1,0.95,0.61,0.96,0.61,0.47,0.35,0.39,0.37,0.42,0.36,0.27,0.35,0.28,0.21,0.26,0.29
c_1,0.62,0.68,0.62,0.95,0.86,0.47,0.39,0.42,0.35,0.3,0.35,0.28,0.38,0.27,0.22,0.26
b_1,0.6,0.71,0.74,0.54,0.95,0.8,0.45,0.42,0.39,0.44,0.37,0.34,0.39,0.31,0.22,0.32
a_1,0.76,0.78,0.88,0.69,0.48,0.94,0.51,0.47,0.46,0.47,0.37,0.48,0.44,0.32,0.28,0.35
h_1,0.99,1.01,1.11,0.9,0.77,0.6,0.81,0.67,0.56,0.52,0.53,0.5,0.49,0.43,0.39,0.54
g_1,0.92,1.26,0.88,0.85,0.77,0.63,0.61,0.8,0.54,0.59,0.69,0.53,0.51,0.46,0.37,0.4
d_0,0.9,0.95,0.9,1.37,0.93,0.7,0.66,0.62,0.74,0.46,0.55,0.44,0.55,0.45,0.36,0.48
c_0,1.11,0.95,1.11,0.93,0.69,0.62,0.69,0.65,0.66,0.75,0.59,0.86,0.64,0.46,0.56,0.47
f_0,0.89,1.17,1.0,1.04,0.86,0.75,0.68,0.67,0.71,0.59,0.74,0.6,0.63,0.75,0.42,0.5
b_0,1.04,1.04,1.12,1.07,0.76,0.54,0.69,0.65,0.72,0.59,0.6,0.74,0.62,0.45,0.68,0.51
h_0,1.07,1.19,1.38,1.05,0.91,0.75,0.63,0.83,0.68,0.62,0.59,0.66,0.53,0.51,0.44,0.56
e_0,0.94,1.28,1.3,1.13,0.98,0.82,0.73,0.75,0.7,0.66,0.54,0.68,0.7,0.68,0.48,0.53
a_0,1.12,1.23,1.16,1.26,1.13,0.59,0.79,0.76,0.75,0.6,0.67,0.62,0.69,0.53,0.68,0.6
g_0,1.13,1.56,1.15,1.18,0.94,0.75,0.75,0.72,0.68,0.69,0.82,0.62,0.71,0.62,0.44,0.49
