,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.29,1.04,1.29,1.41,2.42,15.28,22.82,26.71,28.43,30.24,34.08,59.91,64.44,62.59,107.76
e_1,0.77,1.0,1.23,1.49,1.52,2.72,17.56,22.89,33.9,28.16,29.09,46.09,65.88,78.15,90.69,116.74
d_1,0.95,0.81,1.0,0.93,1.12,1.87,14.76,23.05,18.04,16.16,23.61,32.0,54.39,62.33,76.09,75.43
c_1,0.79,0.66,1.04,1.0,1.56,1.92,12.75,17.09,13.7,18.45,17.92,30.62,48.79,56.88,62.6,73.9
b_1,0.69,0.66,0.89,0.66,1.0,2.77,12.03,17.17,15.33,18.74,21.6,25.16,42.43,60.57,55.64,88.97
a_1,0.42,0.37,0.52,0.52,0.37,1.0,7.57,8.77,9.82,9.93,11.82,14.58,26.72,29.6,34.49,42.73
h_1,0.07,0.06,0.07,0.07,0.08,0.14,1.0,1.35,1.47,1.55,1.73,2.17,3.82,4.86,4.53,7.14
c_0,0.04,0.05,0.04,0.06,0.06,0.11,0.75,1.0,1.21,1.14,1.65,1.63,3.34,3.37,3.46,4.86
d_0,0.04,0.03,0.05,0.07,0.07,0.1,0.68,0.82,1.0,1.14,1.08,1.61,2.69,3.0,3.24,4.84
g_1,0.04,0.04,0.06,0.05,0.06,0.1,0.63,0.9,0.91,1.0,1.05,1.89,2.47,2.65,3.23,4.66
b_0,0.03,0.04,0.04,0.06,0.05,0.08,0.57,0.63,0.97,0.94,1.0,1.44,2.98,2.73,2.62,3.96
f_0,0.03,0.02,0.03,0.03,0.04,0.07,0.46,0.59,0.63,0.51,0.66,1.0,1.71,1.94,3.16,2.45
a_0,0.02,0.02,0.02,0.02,0.02,0.04,0.26,0.31,0.39,0.38,0.35,0.6,1.0,1.31,1.32,1.83
h_0,0.02,0.01,0.02,0.02,0.02,0.04,0.2,0.3,0.34,0.39,0.38,0.47,0.77,1.0,1.02,1.62
e_0,0.02,0.01,0.01,0.02,0.02,0.03,0.22,0.28,0.32,0.31,0.39,0.32,0.82,0.95,1.0,1.29
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.2,0.21,0.22,0.24,0.38,0.56,0.59,0.77,1.0
