,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,35.78,0.05,0.06,0.08,0.06,0.08,0.24,0.28,0.75,0.38,0.35,0.32,0.65,0.34,,0.5
f_1,0.11,37.49,0.06,0.08,0.06,0.08,0.3,0.27,0.31,0.39,0.31,,0.71,0.39,0.33,0.55
d_1,0.07,0.07,40.99,0.05,0.08,0.07,0.23,0.25,,0.6,0.43,0.4,0.69,0.33,0.31,0.54
c_1,0.05,0.07,0.06,44.48,0.15,0.08,0.31,0.25,0.37,,0.34,0.35,0.51,0.37,0.42,0.71
b_1,0.07,0.07,0.07,0.07,47.53,0.12,0.33,0.26,0.36,0.33,,0.33,0.66,,0.42,0.56
a_1,0.06,0.07,0.07,0.07,0.04,72.59,0.32,0.27,0.46,0.39,0.33,0.38,0.64,,,0.55
h_1,0.25,0.42,0.24,0.26,0.22,0.21,28.7,1.89,1.11,1.3,1.02,1.25,,1.52,1.55,3.28
g_1,0.16,0.19,0.43,0.17,0.29,0.22,1.18,32.8,1.37,1.54,1.34,3.1,1.89,1.03,1.32,
d_0,0.35,0.33,,0.69,0.35,0.48,1.37,1.16,17.7,1.62,2.04,2.09,3.4,1.67,2.07,1.91
c_0,0.33,0.34,0.36,,0.21,0.26,1.83,1.6,1.73,17.93,4.77,1.53,2.59,2.62,1.89,2.38
b_0,0.34,0.35,0.35,0.33,,0.33,1.34,0.92,2.25,2.23,21.27,2.37,3.09,3.34,1.83,2.3
f_0,0.39,,0.44,0.45,0.36,0.3,1.81,0.88,2.24,1.87,2.37,19.11,2.03,1.61,4.59,2.36
h_0,0.5,0.83,0.56,0.5,0.51,0.41,,2.57,2.71,3.26,2.45,3.09,,3.15,2.38,7.86
a_0,0.36,0.44,0.32,0.27,0.35,,1.94,1.48,1.04,2.57,1.69,1.62,2.5,32.45,,3.04
e_0,,0.25,0.32,0.26,0.27,0.36,1.81,2.96,2.3,1.71,1.28,2.59,4.44,2.41,27.42,3.53
g_0,0.62,0.45,0.83,0.45,0.87,,1.57,,2.81,2.96,2.05,4.75,4.33,,4.46,
