,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.08,1.05,0.91,0.98,0.98,1.02,0.88,0.81,1.33,1.04,0.99,0.92,1.06,0.95,0.85
e_1,0.92,1.0,0.77,1.14,1.05,1.03,1.16,1.41,1.16,1.0,1.13,1.11,1.16,1.08,1.31,1.09
f_1,0.95,1.31,1.0,0.98,0.91,1.11,0.78,0.96,1.11,0.87,0.82,0.87,0.72,0.9,0.74,0.84
c_1,1.11,0.88,1.03,1.0,1.3,0.88,0.91,0.72,0.98,0.87,0.91,0.79,1.13,0.93,0.88,1.21
b_1,1.03,0.96,1.09,0.76,1.0,1.3,1.12,0.86,0.94,1.08,0.9,1.15,0.98,0.88,1.1,1.12
a_1,1.01,0.96,0.9,1.13,0.76,1.0,1.31,1.11,1.19,1.11,1.18,1.23,1.28,1.14,1.3,1.07
h_1,1.01,0.86,1.3,1.06,0.89,0.77,1.0,0.95,1.43,0.88,0.94,0.99,1.05,0.96,0.9,1.12
d_0,1.09,0.71,1.02,1.41,1.16,0.98,1.04,1.0,0.92,0.78,0.9,0.97,1.01,0.78,0.9,1.06
g_1,1.28,0.92,0.93,0.99,1.05,0.86,0.71,1.09,1.0,0.97,1.16,1.03,1.0,1.18,1.08,0.84
c_0,0.74,1.05,1.12,1.18,0.91,0.82,1.21,1.28,1.02,1.0,1.12,1.74,1.13,1.12,1.14,1.22
f_0,0.95,0.9,1.13,1.08,1.07,0.87,1.1,1.02,0.89,0.9,1.0,1.04,1.06,0.9,1.37,0.74
b_0,0.95,0.91,1.19,1.3,0.81,0.77,1.0,1.12,0.96,0.63,1.0,1.0,1.06,1.54,1.03,0.88
h_0,1.07,0.87,1.35,0.91,0.99,0.84,0.94,0.96,1.0,0.86,0.93,0.91,1.0,0.86,0.91,1.02
a_0,0.98,0.94,1.1,1.01,1.04,0.94,1.1,1.15,0.79,0.98,1.09,0.67,1.18,1.0,1.03,1.01
e_0,1.08,0.86,1.32,1.12,0.89,0.79,1.15,1.11,0.88,0.93,0.71,0.99,1.04,0.98,1.0,1.08
g_0,1.22,0.91,1.11,0.86,0.85,0.92,0.92,0.9,1.16,0.89,1.35,1.13,0.98,1.0,0.94,1.0
