,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,2.38,0.27,0.26,0.27,0.28,0.34,0.48,0.56,1.02,0.48,0.57,0.51,0.64,0.56,,0.93
f_1,0.41,2.5,0.34,0.27,0.29,0.25,0.48,0.51,0.68,0.65,0.72,,0.39,0.75,0.42,0.51
c_1,0.27,0.24,2.54,0.3,0.38,0.24,0.66,0.55,0.57,0.57,,0.81,0.58,0.75,0.51,0.78
d_1,0.25,0.27,0.26,2.56,0.32,0.3,0.57,0.55,,0.81,1.16,0.54,,0.61,0.81,0.41
b_1,0.29,0.28,0.27,0.2,2.7,0.4,0.51,0.54,0.55,,0.77,0.46,0.59,0.81,0.57,1.15
a_1,0.27,0.27,0.31,0.26,0.23,3.08,0.71,0.54,0.68,0.57,0.58,0.66,,0.8,,0.69
h_1,0.54,0.66,0.35,0.63,0.6,0.46,3.79,1.32,1.14,0.93,0.95,1.16,1.25,,1.62,1.95
g_1,0.5,0.53,0.55,0.71,0.38,0.51,0.99,4.18,0.99,1.36,1.18,1.8,,1.45,1.24,
d_0,0.45,0.56,1.02,,0.7,0.58,1.01,1.27,3.56,1.77,1.14,1.14,1.11,2.03,1.55,1.6
b_0,0.75,0.56,0.53,0.6,,0.5,1.65,0.85,0.95,3.55,1.34,1.56,2.55,1.6,1.46,1.66
c_0,0.66,0.6,,0.41,0.49,0.58,1.46,1.23,1.72,1.94,3.53,1.2,1.56,1.95,1.89,1.44
f_0,0.55,,0.51,0.68,0.9,0.52,1.16,1.11,1.5,1.27,1.32,3.96,1.25,1.65,1.86,1.82
a_0,0.59,0.72,0.64,,0.51,,1.07,,1.63,0.93,1.56,1.33,4.38,2.06,,1.74
h_0,0.76,1.05,0.8,0.8,0.81,0.73,,1.72,1.58,1.55,1.57,1.28,1.77,,1.36,2.4
e_0,,0.73,0.65,0.48,0.61,,1.24,1.16,0.9,1.65,0.98,1.59,,2.47,4.57,1.63
g_0,0.74,0.72,0.69,1.3,0.46,0.85,1.19,,1.39,1.79,1.66,2.14,2.08,2.1,1.51,
