,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,103.71,37.38,29.2,53.82,78.55,261.03,5193.61,7128.96,6201.59,19478.93,16280.34,27047.52,62683.04,59806.46,95687.46,93081.8
f_1,29.0,109.74,55.41,65.43,68.31,180.1,4816.19,8551.82,10141.4,11063.16,13348.31,12868.71,50459.6,48285.92,119558.71,55068.57
e_1,34.16,30.42,110.86,63.16,77.76,224.74,5693.6,7478.97,16328.08,12464.87,16086.48,25204.57,48304.37,50775.03,88757.03,39761.53
c_1,26.73,25.48,27.72,174.35,97.74,168.42,5145.04,7397.05,8204.98,3619.01,8917.82,23018.68,48497.65,37155.79,78493.57,80783.57
b_1,27.71,26.41,27.05,41.42,209.99,255.99,3623.27,6053.99,7849.55,7945.82,5744.84,21311.37,39004.27,44526.26,85050.13,69915.37
a_1,17.31,20.23,18.44,32.23,33.26,500.83,3470.08,5955.59,5998.23,6415.44,9166.94,14474.24,26732.99,14673.4,58832.46,49659.62
h_1,10.24,14.31,9.27,17.59,23.71,55.26,3267.22,3649.45,2922.25,2994.1,3964.77,6479.78,11704.98,17444.08,35406.16,27231.49
g_1,12.78,7.91,8.53,17.79,19.8,36.48,1061.3,4707.66,2611.23,3179.6,3926.84,7883.93,13389.51,14215.3,8823.51,23871.04
d_0,5.14,9.61,7.87,24.81,18.78,48.19,1508.21,1970.18,4491.15,2460.65,4257.69,5679.04,14918.24,11025.68,24536.4,29405.2
c_0,6.7,9.88,8.29,13.37,19.87,59.26,1546.56,1935.93,3078.95,4718.46,6310.01,6397.49,16846.8,15174.68,21464.41,28190.63
b_0,8.07,10.19,7.13,17.25,10.05,40.63,1385.17,1931.65,2357.6,2419.45,5992.36,5034.0,14357.66,19228.0,24927.25,16570.58
f_0,7.15,4.77,6.2,10.58,14.5,40.6,1240.18,1435.33,2346.32,2504.9,3197.14,8805.41,9730.04,12410.15,18793.11,38735.56
h_0,5.13,8.31,5.33,7.77,12.19,32.3,508.41,1402.66,1516.27,1804.99,2250.77,3915.48,5338.36,8089.91,19057.73,10973.98
a_0,4.17,6.38,6.02,10.54,8.44,,727.38,1180.57,2128.54,1980.35,2229.78,3718.72,9235.37,15720.18,17146.83,11907.08
g_0,5.86,3.64,4.8,8.35,8.03,20.95,604.47,,1223.21,1517.18,1974.36,4372.44,6087.35,6725.91,8396.76,12792.25
e_0,4.93,5.82,3.44,8.21,10.47,21.63,725.05,975.84,1169.8,1374.63,2657.57,2466.41,9852.48,5995.23,13626.56,24538.19
