,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.43,2.07,4.04,2.95,3.52,2.57,2.08,2.38,2.42,1.85,1.72,1.73,1.55,1.51,,1.35
f_1,4.45,0.41,3.76,4.55,3.08,4.3,1.67,1.58,1.65,1.51,,1.55,1.52,0.88,1.3,1.63
d_1,3.32,3.98,0.41,3.61,3.67,4.37,2.43,1.67,1.62,,1.33,1.49,1.48,1.2,2.07,0.87
c_1,4.48,3.03,4.15,0.38,4.81,4.03,2.06,1.35,,1.0,1.77,1.6,1.59,1.36,1.56,1.24
b_1,3.74,3.65,3.35,2.2,0.36,4.05,2.22,1.68,1.92,1.55,2.08,,1.93,1.3,1.21,1.53
a_1,3.9,4.05,2.68,3.59,2.65,0.31,1.82,1.84,1.59,,1.64,1.55,,1.32,,1.24
h_1,1.69,1.79,1.62,1.5,1.57,1.74,0.27,1.38,0.79,0.85,0.91,0.78,0.76,,0.75,1.0
g_1,1.43,2.25,1.76,2.13,2.16,2.09,0.77,0.25,0.75,0.79,0.96,0.83,0.89,0.52,,
c_0,1.26,1.65,1.11,,1.62,1.59,0.9,0.89,0.29,0.68,0.59,0.97,0.9,0.57,0.84,0.6
d_0,1.15,1.48,,2.07,1.61,,0.74,1.23,0.7,0.28,0.6,0.64,0.78,0.65,0.62,0.67
f_0,1.72,,1.81,1.57,1.34,1.75,0.88,0.63,0.76,0.91,0.26,0.54,0.59,0.63,0.86,0.49
b_0,1.94,1.87,1.93,1.66,,2.07,0.74,0.74,0.4,0.77,0.86,0.26,0.96,0.58,0.5,0.63
a_0,2.23,1.73,1.85,1.59,1.93,,0.73,0.7,0.69,0.7,0.93,0.46,0.22,0.73,,0.55
h_0,1.24,1.69,1.48,1.31,1.11,1.11,,0.72,0.63,0.45,0.63,0.69,0.51,,0.44,0.43
e_0,,2.41,1.17,1.64,2.22,,0.78,,0.68,0.81,0.4,0.96,,0.78,0.22,0.56
g_0,1.27,1.27,1.48,1.48,1.44,1.53,0.46,,0.51,0.61,0.56,0.57,0.72,0.5,0.56,
