,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.94,0.74,0.43,0.43,0.34,0.23,0.28,0.27,0.26,0.25,0.17,0.27,0.23,0.12,0.18,0.2
e_1,0.45,0.95,0.46,0.5,0.36,0.29,0.33,0.29,0.25,0.46,0.33,0.3,0.25,0.18,0.21,0.23
d_1,0.51,0.44,0.95,0.36,0.44,0.29,0.31,0.23,0.48,0.17,0.28,0.29,0.24,0.23,0.18,0.2
c_1,0.52,0.44,0.5,0.94,0.71,0.29,0.31,0.29,0.17,0.24,0.25,0.24,0.24,0.19,0.19,0.2
b_1,0.61,0.46,0.53,0.33,0.94,0.46,0.32,0.28,0.29,0.29,0.29,0.19,0.29,0.2,0.18,0.2
a_1,0.69,0.46,0.59,0.52,0.41,0.94,0.44,0.3,0.41,0.32,0.28,0.35,0.32,0.31,0.2,0.25
h_1,0.99,0.69,0.74,0.68,0.65,0.4,0.76,0.48,0.4,0.37,0.43,0.37,0.3,0.26,0.33,0.47
g_1,0.69,0.67,1.08,0.65,0.65,0.47,0.5,0.76,0.4,0.39,0.62,0.45,0.37,0.32,0.32,0.27
c_0,0.92,0.93,0.69,0.63,0.53,0.45,0.55,0.51,0.67,0.55,0.51,0.83,0.48,0.39,0.4,0.38
d_0,0.85,0.7,0.64,1.24,0.67,0.41,0.57,0.5,0.32,0.65,0.42,0.44,0.44,0.4,0.34,0.39
f_0,0.67,0.62,0.94,0.87,0.71,0.48,0.53,0.43,0.53,0.5,0.67,0.51,0.52,0.7,0.38,0.34
b_0,0.86,0.83,0.77,0.89,0.58,0.42,0.62,0.52,0.4,0.52,0.48,0.66,0.51,0.39,0.67,0.4
h_0,1.13,0.99,0.93,0.94,0.6,0.48,0.48,0.66,0.56,0.51,0.48,0.49,0.38,0.31,0.39,0.47
e_0,1.29,0.71,0.91,0.81,0.77,0.56,0.72,0.53,0.53,0.44,0.36,0.53,0.61,0.65,0.44,0.44
a_0,0.99,0.84,1.0,0.87,0.8,0.38,0.66,0.58,0.62,0.5,0.53,0.45,0.55,0.43,0.62,0.51
g_0,0.83,0.9,1.34,0.89,0.73,0.54,0.5,0.5,0.61,0.48,0.75,0.6,0.55,0.46,0.41,0.33
