,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.06,1.22,2.22,2.77,2.13,1.87,0.96,0.82,0.82,0.57,0.76,0.67,0.51,0.78,0.47,0.55
f_1,2.55,1.06,1.84,2.11,2.11,1.43,0.62,0.73,0.83,0.64,0.83,0.5,0.4,0.45,0.6,0.49
d_1,2.44,2.54,1.05,2.21,2.05,1.73,0.79,0.92,0.6,0.72,0.62,0.71,0.5,0.63,0.53,0.32
c_1,1.67,2.78,2.64,1.06,2.49,1.84,0.81,0.43,0.75,0.83,0.59,0.55,0.51,0.53,0.49,0.52
b_1,2.48,2.99,2.42,1.43,1.06,3.0,0.99,0.79,0.91,1.03,0.69,1.19,0.64,0.69,0.64,0.56
a_1,3.46,4.02,3.42,3.39,1.68,1.07,1.39,1.14,1.25,0.98,0.83,1.37,0.77,0.99,1.38,0.78
h_1,5.16,5.96,5.44,5.04,5.09,5.17,1.32,1.58,2.35,1.67,1.62,1.46,1.34,1.31,1.22,1.33
d_0,3.91,5.94,8.14,7.37,6.11,5.07,2.64,1.49,2.85,1.63,1.95,1.8,1.36,1.73,1.71,1.59
g_1,6.79,6.21,6.7,6.94,6.14,5.5,1.72,1.74,1.32,1.96,2.12,1.53,1.13,1.33,1.32,1.68
c_0,7.4,6.02,4.09,10.81,5.71,7.98,2.67,2.87,2.5,1.46,1.95,2.18,1.51,1.62,1.6,1.42
f_0,6.41,9.35,7.81,6.98,7.12,5.93,2.79,2.06,1.85,2.08,1.49,2.17,1.57,2.3,1.99,1.08
b_0,6.69,7.74,6.36,10.8,8.71,5.98,2.89,2.1,3.33,1.42,2.15,1.48,1.74,2.09,2.15,1.8
h_0,8.74,9.07,9.12,9.02,7.83,6.6,4.48,2.88,3.86,2.6,2.84,2.78,2.4,1.84,2.32,2.17
e_0,11.53,14.1,9.29,10.3,8.37,7.89,3.89,3.33,3.88,3.21,1.73,2.51,2.55,1.54,3.08,2.09
a_0,10.9,9.23,10.35,12.71,11.57,9.36,3.71,2.82,3.97,2.76,2.6,1.6,2.53,1.86,1.64,1.92
g_0,10.16,11.66,10.86,9.95,9.39,8.74,2.96,3.06,4.58,2.97,3.43,2.74,1.94,2.29,2.79,2.57
