,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.35,1.14,0.82,1.23,1.05,0.71,2.06,3.45,1.64,2.01,2.07,2.02,3.02,2.28,1.47,2.3
f_1,1.75,2.38,0.95,0.91,0.87,0.75,1.76,2.21,1.56,2.2,2.08,1.42,2.42,1.76,1.49,2.21
d_1,1.01,1.33,2.51,0.83,0.84,0.84,2.04,1.72,1.66,3.74,2.6,1.92,2.89,1.97,1.92,2.52
c_1,0.92,1.0,0.99,2.54,1.73,0.96,1.75,2.09,1.55,1.17,1.51,1.87,2.72,1.63,1.7,2.36
b_1,0.89,1.03,1.04,1.1,2.61,1.67,1.93,1.96,1.65,1.92,1.38,2.15,2.67,1.44,1.72,2.71
a_1,1.15,1.15,1.12,1.06,0.91,3.04,2.12,2.25,1.97,1.94,2.03,2.21,3.04,1.38,2.27,2.88
h_1,1.11,1.56,1.23,0.98,1.06,0.85,3.45,2.15,2.4,2.15,2.05,2.07,2.12,1.82,1.87,3.15
d_0,1.03,1.13,0.92,1.81,1.28,0.8,1.97,3.29,1.58,1.45,2.04,2.02,3.01,1.96,2.02,2.76
g_1,1.04,1.13,1.65,0.88,0.92,0.83,2.14,2.0,3.88,2.54,2.12,2.95,2.95,2.04,2.65,2.25
c_0,1.16,1.35,1.29,0.95,0.83,0.82,2.36,2.66,1.74,3.42,3.9,2.24,2.84,2.57,2.45,3.21
b_0,1.22,1.27,1.24,1.12,0.82,0.79,2.22,2.44,2.22,2.47,3.63,2.01,3.17,3.77,2.27,3.14
f_0,1.08,1.0,1.1,1.09,1.23,1.04,2.41,2.57,2.12,2.19,2.33,3.73,3.21,1.88,4.28,2.96
h_0,1.24,1.44,1.2,1.09,1.09,0.93,1.5,2.21,2.18,2.04,2.04,1.77,2.02,1.6,1.92,3.24
a_0,1.27,1.27,1.16,1.11,1.03,0.63,2.2,2.51,1.8,2.13,2.5,2.17,3.53,3.67,2.19,2.56
e_0,1.07,1.42,1.2,1.03,1.17,0.81,1.98,2.3,1.79,2.35,2.14,2.09,3.2,1.77,3.67,3.33
g_0,1.1,1.17,1.68,1.06,1.02,0.95,1.93,2.08,1.24,2.32,2.44,2.91,2.79,2.28,2.1,2.29
