,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.95,0.68,0.41,0.43,0.4,0.22,0.25,0.28,0.26,0.26,0.25,0.12,0.23,0.18,0.14,0.19
e_1,0.51,0.94,0.37,0.47,0.41,0.31,0.34,0.47,0.26,0.23,0.33,0.26,0.3,0.2,0.16,0.24
d_1,0.54,0.53,0.94,0.38,0.45,0.26,0.29,0.22,0.5,0.23,0.28,0.28,0.29,0.25,0.19,0.22
c_1,0.49,0.45,0.48,0.94,0.68,0.32,0.29,0.24,0.15,0.22,0.21,0.22,0.26,0.21,0.19,0.22
b_1,0.49,0.51,0.4,0.4,0.94,0.57,0.38,0.31,0.29,0.26,0.22,0.28,0.29,0.15,0.19,0.26
a_1,0.65,0.54,0.63,0.52,0.34,0.94,0.37,0.34,0.31,0.38,0.28,0.29,0.29,0.17,0.24,0.23
h_1,1.08,0.6,0.77,0.7,0.54,0.42,0.76,0.43,0.42,0.5,0.42,0.33,0.29,0.34,0.29,0.41
d_0,0.88,0.57,0.52,1.29,0.68,0.51,0.58,0.66,0.42,0.45,0.4,0.42,0.48,0.34,0.32,0.36
c_0,0.96,0.89,0.63,0.78,0.52,0.49,0.53,0.46,0.68,0.46,0.78,0.37,0.48,0.46,0.33,0.38
g_1,0.74,0.76,1.11,0.82,0.65,0.38,0.44,0.47,0.43,0.75,0.48,0.58,0.42,0.28,0.32,0.3
b_0,1.01,0.72,0.85,0.92,0.47,0.49,0.54,0.59,0.44,0.41,0.68,0.38,0.48,0.63,0.31,0.33
f_0,0.85,0.6,0.87,0.92,0.74,0.5,0.67,0.49,0.6,0.42,0.55,0.67,0.51,0.4,0.66,0.42
h_0,1.25,0.84,0.83,0.78,0.71,0.63,0.38,0.48,0.46,0.59,0.49,0.42,0.38,0.29,0.32,0.48
a_0,1.17,0.86,0.86,0.88,0.82,0.34,0.66,0.57,0.55,0.55,0.48,0.44,0.59,0.64,0.32,0.45
e_0,1.12,0.64,0.96,0.95,0.85,0.62,0.74,0.52,0.59,0.49,0.61,0.33,0.56,0.41,0.61,0.5
g_0,1.03,0.76,1.27,0.79,0.63,0.66,0.57,0.46,0.55,0.43,0.67,0.62,0.49,0.4,0.39,0.37
