,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.76,0.91,1.16,0.88,0.67,0.52,0.43,0.59,0.39,0.45,0.45,0.37,0.4,0.38,0.35
f_1,1.31,1.0,0.87,0.85,0.79,0.71,0.38,0.45,0.4,0.42,0.35,0.4,0.32,0.27,0.33,0.27
d_1,1.11,1.15,1.0,0.94,0.87,0.7,0.51,0.36,0.45,0.54,0.41,0.4,0.36,0.33,0.26,0.27
c_1,0.85,1.18,1.07,1.0,1.3,0.82,0.52,0.48,0.32,0.39,0.37,0.36,0.37,0.3,0.33,0.33
b_1,1.14,1.26,1.14,0.77,1.0,1.23,0.67,0.63,0.47,0.53,0.48,0.4,0.42,0.43,0.38,0.38
a_1,1.51,1.39,1.42,1.23,0.8,1.0,0.72,0.57,0.53,0.58,0.56,0.57,0.48,0.42,0.45,0.41
h_1,1.94,2.58,1.96,1.94,1.51,1.42,1.0,1.04,0.96,0.87,0.76,0.78,0.74,0.7,0.69,0.55
g_1,2.27,2.2,2.74,2.2,1.65,1.71,0.96,1.0,0.91,0.95,1.18,0.9,0.63,0.75,0.75,0.74
d_0,1.73,2.5,2.16,3.14,2.16,1.79,1.02,1.08,1.0,0.8,0.9,0.89,0.81,0.8,0.85,0.77
c_0,2.55,2.34,1.91,2.43,1.83,1.79,1.16,1.04,1.25,1.0,1.04,1.28,0.84,0.8,0.75,0.97
f_0,2.19,2.74,2.44,2.7,2.23,1.73,1.32,0.82,1.13,0.96,1.0,1.04,0.88,1.16,0.65,0.77
b_0,2.31,2.53,2.55,2.81,2.49,1.7,1.26,1.14,1.15,0.79,0.99,1.0,0.91,0.89,0.86,1.21
h_0,2.7,3.18,2.73,2.64,2.39,1.98,1.39,1.59,1.23,1.2,1.09,1.11,1.0,0.79,1.09,0.88
e_0,2.63,3.87,3.01,3.25,2.15,2.49,1.4,1.32,1.22,1.15,0.87,1.14,1.25,1.0,0.81,0.94
g_0,2.67,3.04,3.84,2.99,2.56,2.26,1.5,1.32,1.24,1.29,1.54,1.15,0.91,1.16,1.0,0.98
a_0,2.89,3.55,3.5,3.06,2.9,2.57,1.8,1.31,1.45,1.05,1.32,0.82,1.11,1.08,1.06,1.0
