,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,17.26,0.57,0.66,0.41,0.42,0.55,0.98,2.17,1.09,0.86,1.11,1.05,0.85,1.09,0.56,0.92
f_1,1.07,18.23,0.5,0.61,0.41,0.43,0.7,0.73,0.79,0.8,0.87,0.37,1.01,1.09,0.54,0.98
c_1,0.44,0.43,18.46,0.52,1.27,0.45,0.76,0.84,0.23,0.74,0.57,0.98,0.97,0.96,0.91,1.03
d_1,0.59,0.49,0.44,19.69,0.66,0.47,0.79,0.32,1.84,0.99,1.15,0.99,0.97,0.74,0.9,0.85
b_1,0.42,0.66,0.49,0.5,21.92,1.23,0.84,0.72,1.04,0.81,0.25,0.8,0.87,0.71,0.78,0.86
a_1,0.51,0.63,0.52,0.64,0.37,30.64,1.21,0.99,0.71,0.77,1.04,1.06,1.0,0.33,1.33,0.92
h_1,0.59,1.06,0.62,0.76,0.59,0.55,5.58,0.99,1.12,1.75,1.09,1.2,0.67,0.96,1.53,1.71
d_0,0.64,0.67,1.72,0.31,0.62,0.75,1.05,3.26,0.87,1.05,1.33,1.43,1.41,1.05,1.33,1.34
c_0,0.71,0.9,0.4,0.7,0.35,0.75,1.2,1.21,3.2,1.06,3.15,1.09,1.55,1.47,1.66,1.35
g_1,0.61,0.45,0.72,1.44,0.49,0.66,0.98,1.02,1.11,6.84,1.2,2.01,1.14,0.93,1.15,0.51
b_0,0.69,0.78,0.87,0.77,0.29,0.52,1.13,1.29,1.45,1.11,4.45,1.12,1.45,3.29,1.41,1.33
f_0,0.52,0.37,0.93,0.72,0.84,0.66,1.25,1.32,1.11,1.18,1.33,3.89,1.28,1.19,3.06,1.15
h_0,0.56,1.2,0.84,0.73,0.66,0.68,0.58,1.13,0.98,1.45,1.42,0.98,0.74,1.21,1.31,1.64
a_0,0.66,0.7,0.8,0.84,0.68,0.37,1.39,1.32,1.02,1.44,1.23,1.12,1.95,4.86,1.16,1.38
e_0,0.2,0.93,0.79,0.74,0.8,0.7,1.64,1.04,1.37,1.12,1.35,1.22,1.35,1.38,5.24,1.47
g_0,0.53,0.58,0.73,1.33,0.78,0.6,1.34,0.76,1.16,0.83,1.31,2.18,0.92,1.4,1.75,0.84
