,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.66,1.01,0.92,0.93,0.79,0.73,0.35,0.45,0.33,0.35,0.34,0.44,0.24,0.28,0.32,0.31
e_1,0.69,0.65,1.0,1.08,1.0,0.85,0.44,0.47,0.34,0.41,0.35,0.45,0.28,0.38,0.33,0.3
d_1,1.05,1.01,0.64,0.93,0.94,0.82,0.42,0.31,0.39,0.4,0.35,0.31,0.25,0.31,0.28,0.19
c_1,1.02,0.81,1.2,0.62,1.15,0.93,0.46,0.46,0.39,0.24,0.34,0.35,0.27,0.37,0.34,0.28
b_1,1.23,1.06,1.04,0.66,0.62,1.02,0.46,0.45,0.48,0.37,0.43,0.36,0.34,0.37,0.38,0.3
a_1,1.33,1.37,1.25,1.15,0.83,0.55,0.62,0.58,0.49,0.5,0.55,0.46,0.38,0.44,0.48,0.38
h_1,1.69,1.54,1.58,1.51,1.49,1.19,0.54,0.7,0.54,0.56,0.53,0.58,0.51,0.52,0.52,0.49
g_1,1.66,1.54,1.86,1.57,1.66,1.54,0.68,0.52,0.6,0.6,0.56,0.63,0.38,0.52,0.56,0.45
c_0,1.98,1.96,1.22,2.27,1.48,1.41,0.85,0.79,0.54,0.89,0.75,0.64,0.53,0.6,0.58,0.47
d_0,1.77,1.26,2.12,2.07,1.91,1.71,0.88,0.88,0.56,0.55,0.62,0.65,0.52,0.69,0.68,0.6
b_0,1.81,1.69,1.62,2.23,1.88,1.48,0.87,0.78,0.44,0.73,0.54,0.63,0.56,0.62,0.69,0.48
f_0,1.9,1.64,1.86,1.71,1.7,1.74,0.79,0.59,0.63,0.68,0.62,0.53,0.56,0.84,0.6,0.37
h_0,2.06,2.02,2.13,2.09,1.87,1.73,1.0,1.01,0.7,0.76,0.68,0.69,0.67,0.59,0.58,0.57
e_0,2.72,2.1,1.92,2.14,2.04,1.73,1.03,0.84,0.7,0.74,0.67,0.45,0.65,0.51,0.66,0.47
a_0,2.31,2.04,2.2,2.3,2.12,1.95,0.85,0.81,0.69,0.81,0.5,0.72,0.69,0.66,0.51,0.58
g_0,2.28,2.22,2.48,2.17,2.21,1.94,0.75,1.06,0.75,0.73,0.8,0.83,0.6,0.75,0.66,0.69
