,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.49,2.27,1.61,1.54,1.49,1.61,3.06,3.13,3.93,3.35,2.93,3.61,4.03,2.96,3.89,4.47
e_1,1.59,2.49,2.06,1.48,1.71,1.76,3.08,3.24,5.46,3.39,3.94,3.57,4.4,3.3,4.05,4.65
c_1,1.68,1.46,2.55,1.72,2.59,1.45,3.32,3.23,2.92,2.72,3.5,2.89,4.5,3.9,3.65,4.55
d_1,1.78,1.66,1.41,2.59,1.6,1.62,3.36,2.91,3.34,5.55,3.59,4.13,4.52,3.93,3.78,4.82
b_1,1.74,1.65,1.49,1.6,2.76,2.97,3.59,3.13,3.27,3.44,3.51,3.17,4.26,3.86,3.35,4.56
a_1,1.81,1.77,1.95,1.75,1.25,3.39,3.44,3.62,3.98,3.35,4.0,4.22,4.74,4.12,3.43,4.38
h_1,2.08,1.66,1.64,1.77,1.58,1.55,4.35,3.93,3.63,3.48,3.68,3.86,4.25,3.73,3.68,5.42
g_1,1.68,1.64,1.68,2.31,1.6,1.57,3.16,4.74,3.25,3.92,4.88,3.88,4.14,4.28,3.8,4.27
d_0,1.72,1.48,2.62,1.43,1.94,1.67,3.33,3.66,4.33,2.87,3.89,3.58,4.78,3.64,3.94,4.35
c_0,1.94,1.77,1.8,1.65,1.51,1.73,3.26,3.46,4.09,4.69,3.57,5.98,5.23,4.62,4.8,5.32
f_0,1.67,1.52,1.91,1.92,1.81,1.72,3.53,3.04,3.66,3.65,4.77,4.12,4.93,6.15,3.81,4.53
b_0,1.9,1.77,1.9,1.88,1.37,1.42,3.28,3.79,4.03,3.37,3.5,4.89,5.24,3.87,6.4,4.61
h_0,2.14,1.64,1.73,1.78,1.66,1.53,3.17,4.24,3.8,3.43,3.59,3.9,4.45,3.94,4.11,5.33
e_0,2.01,1.64,1.61,1.86,1.8,1.74,3.53,3.48,3.59,3.74,3.73,4.55,5.2,5.43,3.89,4.33
a_0,1.89,1.55,1.84,2.01,1.69,1.45,3.46,3.94,3.81,3.76,3.82,3.49,5.1,4.12,5.3,4.69
g_0,1.6,1.57,1.72,2.09,1.79,1.65,3.18,3.2,3.83,3.86,4.77,4.3,4.6,4.7,4.35,4.2
