,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.94,0.38,0.68,0.4,0.37,0.18,0.27,0.26,0.22,0.22,0.26,0.12,0.18,0.15,0.1,0.19
d_1,0.53,0.95,0.38,0.34,0.35,0.28,0.31,0.17,0.24,0.45,0.26,0.23,0.27,0.22,0.2,0.18
e_1,0.39,0.42,0.94,0.49,0.35,0.32,0.28,0.46,0.25,0.24,0.27,0.26,0.26,0.17,0.14,0.2
c_1,0.45,0.46,0.38,0.94,0.59,0.31,0.23,0.24,0.25,0.15,0.22,0.22,0.25,0.19,0.14,0.21
b_1,0.42,0.53,0.44,0.33,0.94,0.5,0.32,0.27,0.23,0.26,0.14,0.22,0.29,0.15,0.19,0.23
a_1,0.66,0.52,0.47,0.44,0.38,0.94,0.32,0.31,0.3,0.3,0.26,0.27,0.3,0.14,0.25,0.22
h_1,0.85,0.61,0.67,0.77,0.48,0.43,0.75,0.38,0.48,0.39,0.4,0.35,0.3,0.25,0.27,0.41
d_0,0.73,0.57,0.54,1.14,0.62,0.48,0.52,0.65,0.36,0.33,0.5,0.41,0.36,0.3,0.31,0.32
g_1,0.72,0.93,0.59,0.68,0.59,0.39,0.46,0.46,0.75,0.4,0.43,0.55,0.4,0.35,0.3,0.3
c_0,0.88,0.58,0.81,0.59,0.51,0.5,0.51,0.55,0.43,0.66,0.79,0.44,0.45,0.32,0.33,0.37
b_0,0.81,0.75,0.71,0.83,0.46,0.46,0.53,0.47,0.44,0.36,0.65,0.38,0.49,0.58,0.38,0.36
f_0,0.75,0.78,0.63,0.84,0.72,0.57,0.49,0.52,0.4,0.51,0.45,0.64,0.43,0.33,0.6,0.34
h_0,1.2,0.81,0.7,0.77,0.62,0.46,0.46,0.53,0.6,0.43,0.43,0.44,0.34,0.3,0.31,0.48
a_0,0.86,0.81,0.76,0.83,0.76,0.39,0.69,0.59,0.44,0.6,0.41,0.51,0.62,0.63,0.32,0.46
e_0,1.25,0.82,0.57,0.92,0.61,0.54,0.63,0.51,0.54,0.52,0.52,0.38,0.55,0.5,0.63,0.38
g_0,0.87,1.16,0.71,0.84,0.71,0.65,0.49,0.51,0.29,0.52,0.51,0.63,0.38,0.39,0.4,0.31
