,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.41,3.17,3.52,3.95,4.39,2.44,2.33,2.1,0.95,,2.03,1.87,1.54,1.72,1.18,1.1
f_1,3.74,0.41,4.75,3.84,3.1,3.69,1.3,2.57,1.54,1.51,,1.48,1.07,1.45,1.34,1.64
d_1,4.23,2.65,0.4,3.96,4.49,4.02,1.85,1.32,,1.71,1.41,1.59,1.7,1.85,1.59,0.92
e_1,3.2,2.52,4.43,0.4,3.75,3.62,2.01,1.76,1.72,1.77,1.75,1.6,1.43,,,1.24
b_1,2.1,4.0,3.48,3.63,0.38,4.19,2.63,2.17,2.13,1.81,1.3,,1.04,1.45,2.21,1.28
a_1,6.11,4.38,4.02,3.81,2.28,0.31,1.53,1.75,1.47,1.98,1.27,1.85,1.25,,,1.44
h_1,1.44,1.91,1.75,2.01,1.59,2.52,0.27,1.16,0.92,0.82,0.83,0.87,,0.46,0.63,0.87
g_1,1.62,1.61,1.85,2.13,1.83,1.97,0.73,0.25,0.85,0.89,1.04,0.85,0.55,1.08,0.8,
d_0,1.86,1.84,,0.98,1.28,1.6,0.81,0.85,0.29,0.86,0.9,0.57,0.52,,0.74,0.57
c_0,,1.65,0.97,2.23,1.61,1.63,0.78,0.77,0.72,0.27,0.63,0.81,0.61,,0.77,0.6
f_0,1.37,,1.58,1.51,1.61,1.61,0.83,0.58,0.64,0.72,0.26,1.04,0.58,0.76,,0.51
b_0,2.2,1.53,1.25,1.73,,1.71,0.84,0.85,0.82,0.43,0.54,0.26,0.67,0.57,,0.74
h_0,1.06,1.4,1.29,0.97,1.52,1.19,,0.83,0.71,0.57,0.8,0.42,,0.54,0.65,0.47
e_0,1.82,2.42,1.74,,1.39,,1.39,0.61,,,0.51,0.74,0.6,0.21,,0.67
a_0,2.2,1.87,1.67,,1.39,,1.02,0.92,0.71,0.66,,,0.45,,0.22,0.57
g_0,1.47,1.43,1.49,1.17,1.73,1.35,0.48,,0.57,0.54,0.63,0.56,0.49,0.58,0.47,
