,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,2.11,0.77,0.79,0.58,0.72,0.67,0.98,0.98,1.74,0.69,1.28,1.09,1.08,1.14,1.03,0.9
e_1,0.65,2.05,0.76,0.9,0.7,0.73,1.04,0.94,0.98,1.61,1.09,1.1,0.92,1.0,1.02,0.71
f_1,0.72,1.25,2.09,0.8,0.66,0.62,0.93,0.8,0.8,0.91,0.91,0.62,0.89,0.79,0.9,0.75
c_1,0.74,0.63,0.75,2.32,1.36,0.66,0.87,0.91,0.43,0.83,0.55,0.8,1.02,0.94,0.89,1.1
b_1,0.77,0.71,0.81,0.76,2.49,1.54,0.82,0.85,0.79,0.87,0.59,0.94,0.95,0.94,0.59,0.98
a_1,0.85,0.79,0.78,0.76,0.7,3.47,1.0,0.95,1.04,0.96,1.05,1.08,1.06,0.8,0.65,0.91
h_1,0.95,0.68,1.08,0.7,0.81,0.75,2.09,1.5,1.14,0.91,1.0,1.1,0.78,1.39,1.16,1.27
g_1,1.41,0.69,0.81,0.7,0.75,0.68,0.96,2.49,1.0,0.66,1.03,1.44,0.96,0.83,1.21,1.25
c_0,0.97,0.86,0.99,0.61,0.58,0.7,1.14,1.08,1.74,1.02,2.1,1.12,1.18,1.18,1.6,1.12
d_0,0.61,0.74,0.92,1.53,0.72,0.72,1.09,0.96,0.65,1.64,0.9,1.08,1.07,1.17,1.13,1.26
b_0,0.93,0.82,0.98,0.98,0.54,0.49,1.13,1.09,1.09,1.13,1.94,1.0,1.23,1.19,2.46,1.21
f_0,1.03,0.74,0.68,0.95,0.74,0.73,1.11,1.16,1.06,1.04,1.17,1.96,1.19,1.18,1.11,2.28
h_0,0.96,0.82,1.19,0.87,0.66,0.71,0.74,1.33,0.97,0.99,1.03,0.86,0.77,1.54,0.91,1.19
g_0,1.24,0.74,0.76,0.78,0.72,0.9,1.03,0.81,1.13,0.95,1.11,1.74,1.02,0.94,1.12,1.29
a_0,0.94,0.74,0.91,1.07,0.89,0.41,0.94,1.16,0.95,0.99,1.02,1.09,1.36,1.27,2.52,1.13
e_0,0.92,0.6,0.97,0.88,0.8,0.78,1.19,1.11,0.95,0.93,1.14,1.24,1.32,1.15,1.24,2.54
