,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.08,1.05,0.9,0.9,0.79,0.66,0.53,0.83,0.68,0.7,0.58,0.6,0.51,0.55,0.52
e_1,0.92,1.0,0.8,1.16,0.95,0.83,0.82,0.71,0.64,0.87,0.67,0.71,0.59,0.64,0.62,0.61
f_1,0.94,1.23,1.0,1.01,0.92,0.77,0.61,0.65,0.57,0.64,0.57,0.59,0.5,0.56,0.55,0.45
c_1,1.13,0.89,1.02,1.0,1.27,0.88,0.75,0.75,0.57,0.48,0.5,0.56,0.62,0.59,0.5,0.59
b_1,1.12,1.04,1.1,0.8,1.0,1.32,0.73,0.72,0.74,0.72,0.66,0.69,0.67,0.63,0.47,0.62
a_1,1.25,1.17,1.23,1.13,0.78,1.0,0.88,0.85,0.86,0.82,1.0,0.79,0.77,0.59,0.77,0.65
h_1,1.47,1.27,1.6,1.36,1.37,1.15,1.0,1.11,0.9,0.86,0.94,0.9,0.85,0.9,0.83,0.81
g_1,1.84,1.45,1.56,1.3,1.39,1.14,0.88,1.0,1.0,0.85,0.97,0.97,0.8,0.83,0.89,0.85
c_0,1.29,1.54,1.74,1.72,1.34,1.09,1.11,1.02,1.0,1.16,1.28,0.93,1.0,0.87,1.03,0.94
d_0,1.45,1.2,1.57,2.01,1.44,1.16,1.11,1.22,0.79,1.0,0.89,0.91,0.94,0.92,0.92,1.0
b_0,1.43,1.45,1.69,2.06,1.51,0.92,1.07,1.05,0.77,1.09,1.0,0.86,1.02,0.88,1.39,0.89
f_0,1.71,1.44,1.66,1.75,1.42,1.28,1.09,1.03,1.06,1.16,1.1,1.0,1.08,0.8,0.93,1.25
h_0,1.7,1.68,2.01,1.61,1.45,1.27,1.14,1.3,1.02,1.06,0.99,0.9,1.0,1.12,0.82,0.91
g_0,1.97,1.62,1.84,1.71,1.66,1.62,1.11,1.21,1.12,1.09,1.12,1.3,0.86,1.0,0.96,1.01
a_0,1.78,1.62,1.78,1.97,2.12,1.36,1.25,1.1,0.95,1.05,0.77,1.05,1.23,1.05,1.0,1.0
e_0,1.84,1.58,2.07,1.71,1.69,1.48,1.25,1.16,1.05,1.03,1.18,0.81,1.15,0.93,1.09,1.0
