,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.41,1.2,1.38,1.22,1.63,0.9,0.79,0.77,0.35,0.88,0.7,0.58,0.52,0.58,0.48,0.45
f_1,1.29,0.41,1.33,1.48,1.14,1.24,0.5,0.88,0.54,0.54,0.95,0.5,0.39,0.46,0.5,0.6
d_1,1.42,1.14,0.4,1.47,1.55,1.37,0.67,0.49,1.19,0.63,0.51,0.59,0.55,0.69,0.49,0.33
e_1,1.28,0.84,1.51,0.4,1.28,1.43,0.72,0.69,0.66,0.6,0.62,0.56,0.54,1.97,0.56,0.53
b_1,0.75,1.51,1.24,1.28,0.38,1.73,0.92,0.77,0.7,0.72,0.53,1.52,0.45,0.52,0.68,0.47
a_1,2.05,1.78,1.43,1.24,0.7,0.31,0.59,0.79,0.6,0.64,0.48,0.68,0.48,0.71,1.14,0.56
h_1,0.87,1.05,0.91,1.05,0.81,1.03,0.26,0.52,0.54,0.44,0.45,0.5,0.7,0.3,0.4,0.45
g_1,1.0,0.88,1.0,0.97,1.06,0.86,0.47,0.24,0.43,0.41,0.55,0.39,0.26,0.5,0.54,0.57
d_0,1.2,1.25,1.5,0.54,0.91,0.86,0.56,0.54,0.28,0.42,0.54,0.38,0.35,0.48,0.48,0.4
c_0,2.13,1.07,0.58,1.0,0.96,0.94,0.51,0.5,0.5,0.26,0.42,0.48,0.43,0.53,0.58,0.42
f_0,0.88,2.05,0.94,0.91,0.95,1.06,0.47,0.33,0.46,0.4,0.24,0.47,0.39,0.51,0.57,0.3
b_0,1.14,0.94,0.78,0.92,1.69,1.07,0.47,0.55,0.43,0.26,0.35,0.24,0.38,0.41,0.79,0.35
h_0,0.93,1.06,0.95,0.8,1.01,0.98,0.87,0.62,0.48,0.41,0.5,0.39,0.53,0.39,0.47,0.39
e_0,0.95,1.7,0.75,,0.99,0.7,0.6,0.38,0.43,0.34,0.26,0.39,0.46,0.2,0.44,0.41
a_0,1.14,0.94,0.97,0.96,0.94,,0.52,0.44,0.43,0.33,0.4,0.22,0.32,0.37,0.21,0.38
g_0,1.03,1.02,1.03,0.76,1.1,0.84,0.42,0.7,0.44,0.34,0.46,0.39,0.3,0.39,0.37,0.54
