,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.18,0.87,1.96,1.56,1.81,1.29,0.59,0.59,0.48,0.36,0.44,0.43,0.36,0.29,1.75,0.27
f_1,1.62,0.17,1.78,2.07,1.42,1.79,0.34,0.46,0.32,0.3,1.56,0.32,0.27,0.15,0.28,0.29
d_1,1.59,1.99,0.16,1.77,1.84,1.83,0.51,0.34,0.28,1.69,0.26,0.32,0.3,0.23,0.38,0.13
c_1,1.58,1.54,2.21,0.14,1.7,2.1,0.46,0.33,0.86,0.19,0.32,0.31,0.35,0.28,0.33,0.25
b_1,1.68,1.95,1.56,0.88,0.13,1.83,0.57,0.46,0.43,0.37,0.42,2.22,0.5,0.24,0.28,0.32
a_1,1.61,1.84,1.43,1.9,1.04,0.09,0.49,0.55,0.36,0.57,0.36,0.4,1.82,0.23,0.48,0.27
h_1,0.88,1.03,0.89,0.86,0.87,0.95,0.07,0.45,0.18,0.19,0.18,0.16,0.21,0.4,0.17,0.18
g_1,0.88,1.21,0.89,1.0,0.96,0.98,0.21,0.06,0.2,0.17,0.19,0.19,0.2,0.11,0.21,0.42
c_0,0.81,1.13,0.47,,1.06,0.9,0.27,0.27,0.07,0.21,0.18,0.21,0.22,0.15,0.19,0.15
d_0,0.53,0.93,2.24,0.94,1.0,0.92,0.26,0.37,0.21,0.07,0.14,0.18,0.19,0.16,0.18,0.16
f_0,0.97,3.46,0.75,0.81,0.89,0.82,0.26,0.19,0.15,0.2,0.06,0.13,0.19,0.14,0.17,0.09
b_0,1.02,0.97,0.75,1.09,2.71,1.03,0.22,0.26,0.08,0.16,0.19,0.06,0.2,0.13,0.13,0.13
a_0,1.02,0.91,0.89,0.94,1.31,1.73,0.21,0.25,0.14,0.16,0.2,0.09,0.05,0.15,0.16,0.11
h_0,0.87,0.92,1.2,1.13,0.71,0.76,0.59,0.24,0.19,0.15,0.18,0.19,0.18,0.3,0.17,0.14
e_0,3.14,1.21,0.65,0.95,1.04,0.72,0.22,0.44,0.17,0.22,0.08,0.19,0.16,0.16,0.04,0.1
g_0,0.94,1.05,0.95,0.95,0.96,0.92,0.17,0.5,0.14,0.22,0.18,0.16,0.17,0.11,0.17,0.28
