,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.35,1.46,1.6,1.7,3.2,18.27,33.01,31.57,39.9,40.95,54.22,67.54,90.08,106.22,124.47
e_1,0.76,1.0,1.24,1.52,1.52,3.41,22.72,43.63,28.23,33.23,47.34,68.56,77.77,87.66,131.89,136.17
d_1,0.7,0.81,1.0,0.91,1.13,2.22,13.69,23.13,31.95,19.79,28.97,40.44,53.84,67.81,81.19,71.61
c_1,0.63,0.66,1.09,1.0,1.47,2.55,13.62,15.32,17.63,20.13,22.72,39.32,50.48,61.39,85.16,87.29
b_1,0.57,0.66,0.88,0.68,1.0,3.48,14.56,19.15,22.7,22.7,30.63,38.04,51.13,47.16,77.54,90.62
a_1,0.3,0.28,0.44,0.38,0.3,1.0,6.43,8.65,9.6,11.43,12.07,15.86,19.42,29.3,34.84,31.62
h_1,0.05,0.05,0.07,0.07,0.07,0.15,1.0,1.4,1.47,1.98,2.04,2.48,3.44,4.38,5.8,6.56
d_0,0.03,0.02,0.04,0.07,0.05,0.11,0.72,1.0,0.95,1.16,1.22,2.01,2.56,3.03,4.25,4.2
c_0,0.03,0.04,0.03,0.05,0.04,0.1,0.66,1.03,1.0,1.17,1.85,1.58,2.41,3.26,3.63,3.72
g_1,0.03,0.03,0.05,0.05,0.05,0.09,0.5,0.85,0.9,1.0,1.36,2.08,1.93,2.42,3.31,3.53
b_0,0.02,0.02,0.03,0.04,0.03,0.09,0.48,0.78,0.55,0.73,1.0,1.14,1.82,2.87,2.46,2.55
f_0,0.02,0.01,0.03,0.03,0.03,0.06,0.4,0.51,0.63,0.48,0.86,1.0,1.33,1.81,3.27,1.88
h_0,0.01,0.01,0.02,0.02,0.02,0.05,0.28,0.38,0.4,0.53,0.59,0.77,1.0,1.07,1.46,1.91
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.23,0.32,0.32,0.42,0.36,0.57,0.98,1.0,1.14,1.31
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.22,0.26,0.29,0.39,0.29,0.72,0.79,1.0,0.98
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.16,0.24,0.27,0.29,0.39,0.54,0.53,0.79,1.04,1.0
