,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.65,0.87,1.01,0.98,0.94,0.71,0.35,0.37,0.45,0.34,0.35,0.36,0.22,0.33,0.25,0.27
d_1,1.09,0.64,1.03,0.84,0.85,0.86,0.44,0.41,0.31,0.43,0.36,0.35,0.29,0.32,0.34,0.21
e_1,0.72,0.93,0.64,1.12,0.97,0.84,0.43,0.47,0.46,0.34,0.38,0.46,0.29,0.34,0.45,0.32
c_1,0.98,1.3,0.8,0.63,1.2,1.04,0.41,0.23,0.39,0.38,0.31,0.32,0.29,0.31,0.32,0.28
b_1,1.11,1.1,1.08,0.7,0.61,1.0,0.55,0.39,0.49,0.47,0.45,0.36,0.32,0.35,0.34,0.32
a_1,1.47,1.21,1.24,1.11,0.75,0.57,0.59,0.47,0.58,0.43,0.48,0.4,0.41,0.46,0.4,0.31
h_1,1.68,1.44,1.57,1.77,1.48,1.26,0.54,0.58,0.69,0.52,0.55,0.5,0.53,0.47,0.46,0.5
d_0,1.63,2.02,1.14,2.12,1.86,1.57,0.83,0.56,0.77,0.53,0.6,0.61,0.51,0.54,0.59,0.49
g_1,1.78,1.8,1.58,1.76,1.68,1.37,0.65,0.64,0.52,0.64,0.62,0.59,0.43,0.6,0.51,0.57
c_0,1.88,1.19,1.86,2.23,1.56,1.62,0.89,0.94,0.77,0.54,0.82,0.62,0.54,0.61,0.59,0.47
b_0,1.7,1.61,1.67,2.14,2.27,1.5,0.82,0.66,0.76,0.43,0.53,0.64,0.56,0.69,0.67,0.5
f_0,2.22,1.85,1.7,2.01,1.81,1.7,0.84,0.68,0.68,0.61,0.68,0.53,0.57,0.57,0.75,0.4
h_0,2.18,1.9,1.93,2.07,1.85,1.62,0.97,0.74,0.93,0.68,0.68,0.69,0.66,0.6,0.57,0.61
a_0,2.1,1.95,1.96,2.1,2.55,2.36,1.05,0.8,0.85,0.7,0.5,0.75,0.65,0.52,0.66,0.58
e_0,2.92,2.07,2.15,2.26,2.26,1.82,0.93,0.77,0.87,0.73,0.65,0.46,0.67,0.71,0.51,0.5
g_0,2.4,2.34,2.06,2.13,2.01,2.05,0.79,0.82,0.93,0.78,0.75,0.75,0.53,0.62,0.75,0.66
