,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10.19,1.91,0.67,0.61,0.6,0.5,0.94,1.05,0.77,0.98,0.97,0.71,0.83,0.98,0.76,1.02
e_1,0.83,10.33,1.02,0.59,0.6,0.63,0.92,2.34,0.92,0.87,0.95,1.13,0.96,0.88,0.86,0.97
c_1,0.65,0.6,10.78,0.7,1.82,0.75,0.82,0.8,0.85,0.5,0.66,0.86,0.96,0.89,0.69,0.91
d_1,0.69,0.66,0.51,13.75,0.63,0.71,0.97,0.58,1.09,2.52,1.33,0.88,1.12,1.08,0.9,0.97
b_1,0.66,0.52,0.67,0.78,12.52,2.06,0.98,0.74,0.9,0.82,0.61,1.06,1.01,0.69,0.99,1.0
a_1,0.73,0.55,0.76,0.86,0.61,20.45,1.18,0.87,1.08,0.86,0.96,1.02,0.95,0.65,1.27,1.0
h_1,1.24,0.71,0.77,0.89,0.71,0.63,2.73,0.91,1.2,1.01,1.23,0.96,0.8,1.05,1.31,1.53
d_0,0.73,0.56,2.48,0.56,0.81,0.71,0.8,1.77,1.08,0.68,1.22,1.03,1.18,1.23,1.25,0.92
g_1,0.67,0.61,0.79,1.53,0.83,0.7,1.04,0.69,3.74,1.01,0.99,1.76,1.1,1.18,1.32,0.75
c_0,0.82,0.76,0.64,0.95,0.59,0.59,1.13,1.07,1.2,2.15,3.86,1.22,1.41,2.13,1.27,1.1
b_0,0.9,0.8,0.93,0.79,0.54,0.47,1.18,1.08,1.04,0.98,2.43,1.29,1.37,3.16,1.28,1.05
f_0,0.63,0.55,0.89,0.9,0.94,0.83,1.17,1.13,1.23,0.98,1.15,2.67,1.57,1.44,3.76,0.99
h_0,1.46,0.85,0.6,0.91,0.67,0.65,0.78,0.88,1.5,0.82,1.04,1.07,0.64,0.84,1.24,1.31
a_0,0.92,0.88,0.93,0.87,0.75,0.55,1.1,1.08,1.05,1.14,0.88,1.01,1.33,3.02,1.15,1.13
e_0,0.7,0.48,0.87,1.24,0.89,0.77,1.13,0.7,1.49,1.21,1.35,0.85,1.3,1.19,2.72,1.16
g_0,0.66,0.6,0.75,1.82,0.82,0.69,0.92,0.85,0.71,1.01,1.06,1.95,1.1,0.87,1.52,0.77
