,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.76,0.95,1.26,1.05,0.86,1.09,1.0,0.93,1.47,1.15,1.15,1.11,1.28,1.23,1.14
f_1,1.3,1.0,0.9,0.9,0.91,0.98,0.81,1.03,1.0,0.93,0.83,1.04,0.93,0.85,1.06,0.89
d_1,1.06,1.1,1.0,0.96,0.99,0.92,1.02,0.8,1.24,1.02,1.0,1.0,1.0,0.94,0.79,0.81
c_1,0.79,1.11,1.04,1.0,1.41,1.02,1.01,1.08,0.78,0.69,0.86,0.85,0.99,0.85,1.0,0.97
b_1,0.96,1.1,1.01,0.71,1.0,1.35,1.16,1.26,1.07,0.96,1.05,0.87,1.05,1.11,1.0,1.09
a_1,1.18,1.02,1.09,0.98,0.73,1.0,1.14,0.98,1.02,0.9,1.04,1.05,0.98,0.98,1.07,0.97
h_1,0.91,1.25,1.01,0.99,0.82,0.82,1.0,1.19,0.98,1.07,0.93,0.99,0.98,1.04,1.05,0.89
g_1,0.98,0.98,1.22,1.04,0.84,0.98,0.84,1.0,0.94,0.97,1.28,1.0,0.78,0.91,0.96,1.07
c_0,1.08,0.99,0.81,1.16,0.93,0.98,1.0,1.03,1.0,1.2,1.1,1.34,1.03,1.05,1.03,1.35
d_0,0.73,1.08,0.97,1.47,1.06,1.07,0.92,1.03,0.84,1.0,0.99,0.97,1.0,1.04,1.13,1.04
f_0,0.84,1.13,1.01,1.21,1.03,0.93,1.11,0.76,0.91,1.03,1.0,1.04,0.99,1.45,0.84,0.95
b_0,0.88,0.95,1.08,1.23,1.1,0.89,1.01,0.99,0.75,1.07,0.99,1.0,1.08,1.22,1.13,1.58
h_0,0.94,1.06,0.97,0.99,0.99,0.9,1.03,1.28,0.98,1.02,0.95,0.96,1.0,0.87,1.15,0.96
e_0,0.85,1.23,1.05,1.14,0.87,1.04,0.93,1.12,0.88,0.93,0.72,0.84,1.15,1.0,0.8,0.93
g_0,0.86,0.93,1.26,1.06,0.94,0.91,0.99,1.01,0.96,0.93,1.22,0.87,0.85,1.2,1.0,0.94
a_0,0.87,1.09,1.16,0.97,0.98,1.1,1.09,0.92,0.75,1.07,1.08,0.66,1.03,1.04,1.07,1.0
