,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.28,0.82,0.97,0.92,0.78,0.62,0.64,0.71,0.75,0.68,0.55,0.54,0.49,0.43,0.55
e_1,0.78,1.0,0.98,1.14,0.99,0.89,0.72,0.65,0.92,0.75,0.67,0.75,0.6,0.6,0.63,0.6
d_1,1.2,1.02,1.0,0.89,0.92,0.77,0.76,0.83,0.61,0.54,0.68,0.65,0.62,0.6,0.67,0.49
c_1,1.04,0.87,1.08,1.0,1.34,0.83,0.69,0.64,0.49,0.64,0.54,0.65,0.58,0.58,0.57,0.5
b_1,1.07,1.01,1.09,0.76,1.0,1.38,0.76,0.75,0.63,0.76,0.76,0.62,0.59,0.71,0.59,0.7
a_1,1.29,1.13,1.25,1.22,0.75,1.0,0.95,0.77,0.81,0.81,0.83,0.73,0.74,0.7,0.73,0.67
h_1,1.62,1.41,1.32,1.38,1.31,1.11,1.0,0.93,0.97,1.0,0.96,0.86,0.84,0.91,0.77,0.89
c_0,1.56,1.58,1.19,1.51,1.31,1.31,1.09,1.0,1.15,1.06,1.32,0.93,1.06,0.91,0.84,0.87
d_0,1.4,1.11,1.57,2.06,1.68,1.22,1.04,0.86,1.0,1.12,0.91,0.97,0.9,0.86,0.83,0.92
g_1,1.42,1.34,1.85,1.57,1.38,1.22,0.98,0.97,0.92,1.0,0.91,1.16,0.85,0.77,0.85,0.9
b_0,1.44,1.54,1.41,1.86,1.36,1.19,1.03,0.78,1.15,1.09,1.0,1.02,1.18,0.92,0.8,0.88
f_0,1.81,1.33,1.51,1.61,1.55,1.36,1.16,1.04,1.05,0.84,0.93,1.0,0.95,0.92,1.35,0.77
a_0,1.86,1.67,1.65,1.58,1.62,1.41,1.17,0.98,1.17,1.12,0.89,1.08,1.0,1.12,1.01,1.03
h_0,2.02,1.62,1.69,1.71,1.47,1.5,1.08,1.09,1.19,1.33,1.12,0.99,0.9,1.0,0.92,1.08
e_0,2.34,1.6,1.46,1.73,1.57,1.5,1.29,1.16,1.24,1.17,1.27,0.75,1.07,1.06,1.0,0.95
g_0,1.85,1.66,2.03,1.98,1.47,1.47,1.15,1.14,1.13,1.15,1.08,1.2,0.99,0.89,1.04,1.0
