,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,24.14,0.34,0.26,0.41,0.32,0.35,0.79,1.71,0.57,0.69,0.82,1.03,0.77,0.38,0.68,0.69
f_1,0.92,25.46,0.32,0.21,0.23,0.32,0.63,0.58,0.65,0.98,0.16,0.61,0.87,0.53,0.95,0.66
d_1,0.25,0.41,28.79,0.29,0.36,0.32,0.72,0.16,0.82,1.74,0.85,0.77,0.79,0.8,0.61,0.86
c_1,0.23,0.29,0.34,27.57,0.81,0.36,0.75,0.77,0.57,0.13,0.86,0.59,1.02,0.75,0.67,0.96
b_1,0.31,0.31,0.36,0.35,30.94,0.69,0.7,0.74,0.57,0.63,0.87,0.26,0.86,0.87,0.6,0.92
a_1,0.3,0.41,0.39,0.34,0.27,45.04,0.59,0.87,0.72,0.53,0.68,0.79,1.1,0.95,0.18,0.77
h_1,0.39,0.89,0.66,0.77,0.59,0.53,9.74,1.34,1.83,1.29,1.24,1.42,0.61,1.53,1.57,2.33
d_0,0.6,0.49,0.23,1.61,0.62,0.53,1.47,4.76,1.44,1.18,1.74,2.0,1.28,1.71,1.88,1.5
g_1,0.51,0.55,1.01,0.71,0.58,0.57,1.14,0.91,12.06,1.23,2.69,1.31,1.49,1.7,1.67,0.55
c_0,0.79,0.76,0.86,0.23,0.44,0.6,1.55,1.51,1.26,6.2,1.76,3.28,1.63,1.34,1.65,2.14
f_0,0.52,0.18,0.74,0.8,0.72,0.83,1.37,1.72,1.74,1.21,6.63,1.88,1.79,3.45,2.06,1.67
b_0,0.52,1.07,0.65,0.7,0.18,0.36,1.52,1.79,1.58,1.54,1.46,7.37,1.64,1.84,3.97,1.91
h_0,0.53,0.98,0.68,0.67,0.57,0.62,0.69,1.61,1.86,1.56,1.7,1.5,0.48,1.51,1.33,1.93
e_0,0.24,0.88,0.66,0.79,0.7,0.66,1.67,1.71,1.8,1.54,1.32,1.55,2.84,9.41,2.19,2.46
a_0,0.76,0.64,0.67,0.77,0.62,0.21,1.85,1.48,1.81,1.79,1.55,1.61,1.53,1.04,8.02,1.75
g_0,0.41,0.51,1.31,0.55,0.61,0.53,1.28,1.28,0.77,1.71,2.51,1.5,1.69,1.66,1.88,0.73
