,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,1.0,0.91,1.68,2.12,3.14,22.37,25.49,39.29,31.55,52.94,42.81,86.26,109.55,122.16,147.28
d_1,0.98,1.0,1.11,1.19,1.59,2.95,19.24,18.08,25.44,36.24,38.56,42.33,70.99,80.39,105.63,104.13
f_1,1.11,0.88,1.0,1.29,1.44,2.38,16.77,20.7,26.45,26.13,34.58,35.85,53.07,65.2,93.38,120.27
c_1,0.6,0.84,0.77,1.0,1.75,2.32,14.27,16.72,15.14,19.91,27.97,24.43,56.24,60.12,67.1,82.76
b_1,0.47,0.62,0.71,0.6,1.0,2.73,12.14,12.71,14.41,20.65,23.53,24.73,45.56,51.75,49.19,78.38
a_1,0.3,0.34,0.42,0.42,0.38,1.0,7.11,7.26,8.84,10.4,12.04,16.47,24.32,27.05,37.75,43.18
h_1,0.05,0.05,0.06,0.07,0.08,0.14,1.0,1.16,1.31,1.4,2.05,1.97,3.7,4.42,5.08,7.04
g_1,0.04,0.05,0.05,0.06,0.08,0.14,0.91,1.0,1.17,1.4,2.15,1.88,3.03,4.12,4.55,5.7
d_0,0.03,0.04,0.04,0.06,0.07,0.12,0.81,0.86,1.0,0.99,1.45,1.26,2.73,3.25,3.61,5.02
c_0,0.03,0.03,0.04,0.05,0.05,0.09,0.72,0.71,1.03,1.0,1.37,1.75,2.68,2.98,4.2,4.21
f_0,0.02,0.03,0.03,0.03,0.04,0.08,0.51,0.48,0.7,0.71,1.0,1.04,1.96,3.04,2.4,2.82
b_0,0.02,0.02,0.03,0.04,0.04,0.06,0.52,0.53,0.76,0.6,1.03,1.0,1.85,2.08,3.29,3.31
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.27,0.34,0.36,0.37,0.52,0.57,1.0,1.18,1.29,1.73
e_0,0.01,0.01,0.02,0.02,0.02,0.04,0.23,0.24,0.31,0.34,0.35,0.49,0.86,1.0,1.2,1.34
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.21,0.22,0.28,0.23,0.39,0.31,0.73,0.82,1.0,1.3
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.18,0.2,0.23,0.36,0.31,0.57,0.75,0.72,1.01
