,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,9.49,1.77,0.74,0.66,0.57,0.58,0.85,1.03,0.79,0.83,0.91,0.58,0.92,0.67,1.04,0.75
e_1,0.83,9.74,0.92,0.54,0.61,0.61,0.96,2.53,1.03,0.91,1.08,1.04,1.09,0.7,1.0,0.92
c_1,0.64,0.58,10.76,0.81,1.8,0.81,0.84,0.74,0.88,0.45,0.61,0.88,0.75,0.9,0.79,0.92
d_1,0.71,0.68,0.48,16.52,0.58,0.56,1.13,0.54,0.97,2.99,1.32,1.06,1.03,1.04,1.12,1.05
b_1,0.61,0.57,0.66,0.75,12.29,2.08,0.82,0.78,0.76,0.93,0.63,0.96,1.05,1.1,0.65,1.03
a_1,0.79,0.6,0.67,0.77,0.68,17.05,1.01,0.86,0.97,0.84,1.14,1.13,1.36,1.14,0.82,1.28
h_1,1.14,0.71,0.82,0.84,0.75,0.7,3.11,0.86,1.41,1.02,0.96,1.15,0.67,1.3,1.03,1.43
d_0,0.86,0.64,2.35,0.51,0.87,0.63,1.09,1.85,1.11,0.63,0.92,0.88,1.09,1.18,1.1,1.03
g_1,0.71,0.51,0.72,1.91,0.83,0.72,1.04,0.7,3.89,1.16,1.0,2.0,1.02,1.37,1.0,0.86
c_0,1.0,0.83,0.65,0.92,0.5,0.79,1.1,0.98,1.2,2.11,3.43,1.29,1.07,1.04,1.67,1.09
b_0,1.06,0.9,0.87,0.85,0.56,0.54,1.2,1.06,1.18,1.1,2.46,1.11,1.11,1.15,3.22,1.15
f_0,0.56,0.46,1.11,0.96,0.85,0.86,1.14,1.1,1.22,1.04,1.19,2.75,1.27,3.26,0.89,1.27
h_0,1.24,0.79,0.94,0.8,0.91,0.63,0.82,0.88,1.42,0.99,1.17,0.99,0.67,1.22,0.84,1.47
e_0,0.94,0.45,1.15,0.81,0.91,0.93,1.38,0.72,1.08,0.99,0.99,1.17,1.14,2.99,1.08,1.36
a_0,1.07,0.79,0.91,0.74,0.77,0.55,1.19,1.16,1.49,0.92,1.17,1.13,1.39,1.24,3.03,1.21
g_0,0.57,0.61,0.89,1.45,0.89,0.78,1.13,0.87,0.95,1.1,1.1,2.2,1.03,1.55,0.97,0.99
