,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,13243.4,5223.92,10660.98,8685.6,11807.81,59254.54,6194097.79,13296981.69,22919619.57,30691107.21,29092010.37,49554952.11,199002628.33,341206358.01,319385221.39,207529413.31
d_1,6559.07,14166.47,6624.82,6856.83,12661.3,62864.19,5910771.58,16501478.74,17914339.43,58041774.21,42133380.17,74443188.91,238314361.71,353514450.92,335978040.35,351571975.33
e_1,6223.97,5234.35,14863.23,9673.03,12303.4,75337.72,6402497.73,14953557.76,39204151.09,32953922.25,41289692.39,60469258.85,219267751.42,343020244.79,319399933.91,281341961.43
c_1,5650.17,5927.52,5749.35,20044.95,22759.18,69784.8,6259181.72,13667069.25,20442896.31,22378303.02,38755905.67,44066964.14,204525917.22,347497633.73,252993659.05,332699040.1
b_1,6105.3,5861.19,6300.43,8825.64,33085.34,132951.18,6563933.71,14669148.95,20736938.29,31628142.2,41066397.26,44085890.06,187288001.92,367863446.77,210185058.2,367651957.01
a_1,6316.0,6768.63,6055.33,9812.74,11646.84,272702.41,6428411.4,16900892.97,23114613.03,32409324.93,47853586.17,65790186.58,228731129.4,353046424.75,209824143.31,395156482.05
h_1,8008.04,6950.55,6522.37,9273.63,12996.55,70793.13,11276671.5,18831907.84,24267509.52,33456430.57,40415512.55,65290916.46,162536490.97,465300299.63,298632282.63,385527753.03
g_1,5599.4,9590.15,6047.65,8844.8,14212.22,80682.34,5963905.01,31398401.47,19071737.54,41183673.69,60542502.06,67597275.1,218320330.0,286865592.07,273677461.32,436241993.62
d_0,6207.66,5684.89,6473.57,14893.5,15534.18,65636.72,6704309.59,15228962.5,34803806.68,25696887.91,37753306.43,54954013.65,187811038.64,383232310.27,359227623.74,311889152.06
c_0,6637.08,7249.92,6661.65,7845.99,11902.1,88087.61,7490214.21,18262297.25,27166646.39,56541733.32,52940907.72,109581193.12,242515841.08,379273454.65,437056159.88,444996894.57
f_0,5329.37,8432.85,5916.5,9041.27,14037.31,84589.34,7172596.32,20579697.02,23815193.64,43429468.78,71991041.25,70114620.0,259604531.48,377236319.4,357247280.51,756632264.75
b_0,7541.28,8034.36,6353.93,9591.74,11222.99,65282.55,6933678.62,15970478.18,24733665.07,35197040.7,49038812.74,97328413.65,264818164.15,402920401.8,639884402.2,387071471.2
h_0,8289.32,7248.9,7077.49,8455.01,13451.61,75969.04,5169682.63,18580591.36,22362738.96,35068624.52,46820706.53,64948720.88,172675854.62,460383191.55,318575296.78,355989928.75
g_0,5252.0,9387.9,6784.05,8731.99,12938.41,78954.27,7024288.95,15067282.36,22672229.81,37925719.79,61516875.51,69783678.36,196285689.97,298623919.58,365867188.08,396054279.3
a_0,6757.12,7860.37,6743.49,9087.57,12118.47,59458.27,8177464.98,17337275.47,26634273.37,35095987.68,53229260.85,67817780.89,257889710.46,424407078.5,641505034.09,392414430.19
e_0,6827.52,8087.54,3938.01,9981.98,14159.38,82455.58,7968371.01,18128407.31,22219500.05,38199349.51,48434001.65,71413250.3,258625621.69,449422760.91,354170832.3,737898691.33
