,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.41,0.43,0.62,0.67,0.61,0.58,0.34,0.33,0.33,0.26,0.27,0.32,0.24,0.25,0.27,0.31
f_1,0.62,0.4,0.57,0.61,0.57,0.51,0.27,0.33,0.26,0.26,0.27,0.3,0.17,0.23,0.25,0.23
d_1,0.64,0.64,0.39,0.55,0.58,0.55,0.32,0.24,0.32,0.3,0.27,0.26,0.23,0.16,0.27,0.25
c_1,0.5,0.58,0.71,0.38,0.64,0.55,0.3,0.34,0.19,0.29,0.24,0.26,0.24,0.22,0.23,0.24
b_1,0.58,0.67,0.62,0.42,0.37,0.66,0.34,0.33,0.27,0.32,0.29,0.28,0.25,0.24,0.24,0.28
a_1,0.63,0.73,0.61,0.55,0.4,0.3,0.34,0.33,0.3,0.27,0.29,0.24,0.25,0.26,0.3,0.26
h_1,0.55,0.59,0.55,0.59,0.56,0.49,0.23,0.33,0.25,0.24,0.24,0.27,0.23,0.23,0.26,0.23
g_1,0.57,0.59,0.58,0.56,0.59,0.54,0.26,0.21,0.26,0.26,0.26,0.27,0.19,0.23,0.28,0.26
d_0,0.41,0.53,0.7,0.65,0.59,0.55,0.34,0.36,0.23,0.25,0.29,0.28,0.23,0.24,0.25,0.28
c_0,0.61,0.63,0.41,0.7,0.5,0.59,0.34,0.3,0.33,0.22,0.34,0.25,0.23,0.22,0.26,0.26
b_0,0.59,0.57,0.46,0.74,0.67,0.53,0.31,0.3,0.27,0.17,0.21,0.25,0.23,0.21,0.27,0.25
f_0,0.52,0.64,0.52,0.61,0.58,0.57,0.28,0.22,0.28,0.25,0.27,0.2,0.22,0.18,0.27,0.28
h_0,0.59,0.65,0.55,0.52,0.51,0.49,0.35,0.32,0.25,0.25,0.23,0.24,0.24,0.22,0.22,0.24
g_0,0.57,0.6,0.6,0.55,0.54,0.5,0.25,0.31,0.26,0.24,0.23,0.25,0.2,0.22,0.27,0.23
a_0,0.59,0.57,0.52,0.57,0.68,0.6,0.3,0.27,0.27,0.23,0.16,0.22,0.23,0.21,0.18,0.24
e_0,0.59,0.64,0.53,0.61,0.53,0.48,0.29,0.25,0.25,0.25,0.25,0.17,0.22,0.2,0.26,0.18
