,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.3,1.31,1.42,1.87,3.02,19.98,28.93,33.08,36.32,42.28,47.6,62.18,110.78,99.31,138.73
e_1,0.78,1.0,1.69,1.3,1.99,3.49,24.11,40.39,35.71,35.67,48.74,47.12,78.39,127.82,133.17,115.9
c_1,0.76,0.58,1.0,1.18,2.03,2.37,15.4,15.57,25.01,22.57,29.35,28.81,51.58,77.48,81.46,93.55
d_1,0.7,0.77,0.83,1.0,1.37,2.32,17.36,22.01,19.97,36.23,31.4,37.91,51.35,82.31,78.45,70.53
b_1,0.53,0.5,0.51,0.73,1.0,2.45,12.15,15.32,18.63,19.71,19.62,22.9,37.99,58.01,61.86,62.98
a_1,0.32,0.29,0.42,0.44,0.41,1.0,7.45,9.26,10.17,11.51,11.35,15.25,21.71,35.44,39.93,35.7
h_1,0.05,0.04,0.06,0.06,0.08,0.13,1.0,1.12,1.66,1.47,1.66,2.14,2.8,4.37,4.88,5.75
d_0,0.03,0.03,0.06,0.05,0.07,0.11,0.88,1.0,1.21,1.17,1.54,1.76,2.35,3.63,3.82,5.24
g_1,0.03,0.03,0.04,0.05,0.06,0.1,0.6,0.83,1.0,0.95,1.55,1.38,1.87,3.64,3.92,3.45
c_0,0.03,0.03,0.04,0.03,0.05,0.09,0.68,0.85,1.04,1.0,1.12,1.98,2.03,3.55,3.71,3.24
f_0,0.02,0.02,0.03,0.03,0.05,0.09,0.61,0.69,0.64,0.89,1.0,1.17,1.7,4.04,2.82,2.45
b_0,0.02,0.02,0.04,0.03,0.04,0.06,0.5,0.57,0.72,0.51,0.81,1.0,1.43,2.35,3.32,2.58
h_0,0.02,0.01,0.02,0.02,0.03,0.05,0.36,0.41,0.51,0.49,0.54,0.68,1.0,1.58,1.55,1.84
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.23,0.27,0.28,0.28,0.26,0.42,0.63,1.0,1.07,1.05
a_0,0.01,0.01,0.01,0.01,0.02,0.02,0.21,0.25,0.26,0.26,0.36,0.3,0.64,0.94,1.0,1.07
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.2,0.28,0.32,0.4,0.4,0.52,0.94,0.87,1.0
