,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,9.32,10.06,7.83,8.72,8.57,2.85,3.77,2.72,2.57,2.74,,1.7,2.26,2.2,1.7
e_1,7.04,1.07,11.09,9.69,10.5,5.96,3.9,4.98,2.5,2.54,2.45,3.3,1.67,2.34,,1.89
c_1,8.81,9.57,1.07,11.35,9.54,11.7,4.14,3.33,1.98,,2.99,2.11,1.99,2.2,2.86,2.29
d_1,9.73,11.56,8.19,1.07,10.94,7.05,3.14,2.51,,3.26,3.53,2.64,2.59,2.61,2.75,1.28
b_1,11.2,9.57,8.05,9.12,1.07,13.71,3.6,3.55,3.66,4.17,,3.49,2.68,2.29,2.52,2.6
a_1,16.27,19.41,11.77,15.63,8.49,1.08,6.98,6.04,5.41,3.84,4.47,3.61,3.47,,3.51,2.68
h_1,14.54,12.23,12.47,14.95,12.98,9.73,1.41,4.92,4.07,3.68,4.35,3.35,,3.36,3.46,3.13
g_1,18.84,15.93,16.55,19.54,15.8,13.96,5.52,1.41,5.07,4.38,4.34,4.68,2.58,,4.9,
d_0,15.88,10.94,16.86,,13.49,11.57,5.3,5.49,1.76,4.97,4.36,3.6,3.24,4.34,3.07,3.12
c_0,15.88,15.65,,10.3,12.11,12.98,5.38,6.32,4.33,1.76,5.02,3.46,4.03,4.33,3.29,3.6
b_0,16.47,15.27,14.42,12.83,,14.2,6.32,5.47,5.8,3.06,1.75,7.64,3.65,4.12,4.33,5.22
f_0,,18.79,17.95,18.69,15.9,15.88,7.95,3.6,4.22,6.33,4.2,1.73,4.35,,4.74,3.41
h_0,14.64,20.79,15.64,13.75,18.4,15.45,,7.55,4.23,3.92,4.25,4.29,,4.49,3.69,3.35
a_0,21.13,22.32,29.44,21.07,18.82,,8.21,,7.85,6.29,4.09,,4.55,1.68,,4.35
e_0,28.71,,19.95,20.08,23.2,18.4,8.13,6.79,8.82,7.14,5.72,4.38,6.08,,1.73,4.14
g_0,22.06,19.5,18.3,30.72,16.2,20.13,4.9,,4.95,5.56,4.51,6.03,3.26,6.79,5.5,
