,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.24,0.92,0.45,0.49,0.36,0.27,0.86,0.72,0.96,0.99,0.83,0.34,1.1,0.6,0.85,0.53
e_1,0.64,2.25,0.41,0.59,0.32,0.32,0.97,0.74,1.0,2.02,1.07,0.96,1.27,0.96,0.99,0.37
d_1,0.6,0.42,2.36,0.39,0.39,0.37,0.97,0.86,1.96,0.4,1.11,1.06,1.37,0.87,1.16,0.71
c_1,0.47,0.46,0.48,2.44,0.88,0.28,0.79,0.79,0.34,0.99,0.74,1.05,1.24,0.82,0.98,0.77
b_1,0.45,0.52,0.53,0.47,2.7,0.77,0.74,0.79,0.69,0.76,0.34,0.78,1.11,0.62,1.03,0.75
a_1,0.43,0.55,0.67,0.38,0.41,3.16,0.94,0.65,0.89,0.82,1.08,1.04,1.48,0.4,1.43,0.9
h_1,0.77,0.6,0.6,0.55,0.52,0.41,2.94,1.39,1.13,1.25,1.18,1.14,0.97,0.85,1.79,1.06
g_1,0.67,0.47,0.91,0.59,0.5,0.41,1.01,3.27,1.12,0.86,1.18,1.45,1.37,1.02,0.72,1.14
c_0,0.67,0.62,0.69,0.35,0.45,0.49,1.35,1.01,2.58,0.88,2.42,1.4,1.57,1.01,1.85,1.15
d_0,0.6,0.59,0.29,1.24,0.51,0.46,1.1,0.86,0.99,2.55,1.07,1.31,1.29,0.81,1.37,1.08
b_0,0.7,0.6,0.61,0.64,0.27,0.28,1.24,1.0,1.16,1.21,2.85,1.25,1.84,2.26,1.77,1.12
f_0,0.42,0.45,0.73,0.64,0.6,0.57,1.18,1.15,1.36,1.27,1.35,2.74,1.6,1.19,1.38,2.31
h_0,0.92,0.55,0.58,0.63,0.43,0.43,0.73,1.19,1.26,1.16,1.28,1.07,0.78,1.11,2.06,0.91
a_0,0.8,0.47,0.72,0.57,0.6,0.21,1.31,1.04,1.17,1.46,0.94,1.41,1.65,3.12,1.57,1.38
g_0,0.49,0.56,1.05,0.57,0.41,0.47,1.09,0.64,1.35,1.09,1.45,1.84,1.6,0.93,0.76,0.88
e_0,0.72,0.36,0.58,0.66,0.59,0.5,1.09,1.01,1.21,1.39,1.39,1.24,1.91,1.14,1.7,3.3
