,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.81,0.67,0.74,0.47,0.55,0.53,0.77,1.67,0.93,0.8,1.06,1.07,1.07,1.05,0.48,1.06
f_1,1.12,2.92,0.6,0.46,0.52,0.55,0.76,0.95,0.91,0.72,0.91,0.35,0.9,0.94,0.6,0.77
c_1,0.57,0.59,3.01,0.63,1.15,0.4,0.87,0.78,0.28,0.98,0.77,0.87,0.84,0.83,1.1,0.86
d_1,0.5,0.82,0.48,3.21,0.58,0.54,1.03,0.36,1.72,1.01,0.96,1.01,0.84,0.99,0.83,0.9
b_1,0.59,0.52,0.67,0.63,3.37,1.2,1.03,0.99,0.85,0.72,0.34,0.87,0.76,0.81,0.8,1.02
a_1,0.56,0.7,0.59,0.72,0.53,5.03,1.01,0.67,0.9,0.78,0.97,1.13,0.42,1.2,1.31,1.01
h_1,0.66,0.88,0.6,0.97,0.71,0.76,2.97,0.92,1.04,1.54,1.15,1.07,1.15,0.71,1.26,1.75
d_0,0.74,0.68,1.55,0.39,0.67,0.71,0.91,2.09,0.88,0.96,1.24,1.09,1.21,1.34,1.19,1.05
c_0,0.69,0.82,0.47,0.89,0.66,0.87,1.08,1.15,2.25,1.35,2.13,1.4,1.34,1.23,1.48,1.38
g_1,0.63,0.58,0.72,1.36,0.62,0.58,1.16,0.85,1.15,3.72,1.24,1.7,1.06,1.16,1.17,0.61
b_0,0.77,0.72,0.72,0.94,0.41,0.81,1.19,1.1,1.07,1.36,2.67,1.05,2.76,1.16,1.31,1.29
f_0,0.62,0.4,0.85,0.94,0.66,0.66,1.24,1.28,1.21,1.11,1.54,3.06,1.31,1.13,2.99,1.18
a_0,0.83,0.85,0.87,0.68,0.72,0.15,1.11,1.37,1.27,1.39,1.24,1.2,3.42,1.3,1.25,1.35
h_0,0.73,1.0,0.86,0.88,0.68,0.82,0.63,1.03,0.99,1.38,1.41,1.23,1.09,0.82,1.34,1.54
e_0,0.32,0.67,1.06,0.92,0.91,0.76,1.03,1.23,1.03,1.05,1.23,1.28,1.31,1.49,4.03,1.25
g_0,0.62,0.62,0.73,1.39,0.71,0.78,1.01,1.03,1.26,0.67,1.39,1.67,1.08,1.41,1.32,0.67
