,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.1,2.77,2.98,3.06,3.11,2.84,0.64,0.97,0.63,0.57,0.53,0.83,0.5,0.3,0.45,0.59
e_1,1.83,1.1,3.19,3.13,3.38,3.18,0.96,0.91,0.71,0.65,0.63,0.77,0.68,0.43,0.44,0.85
d_1,3.34,3.47,1.1,3.31,2.91,2.6,0.84,0.53,1.04,0.68,0.65,0.61,0.61,0.42,0.32,0.59
c_1,3.19,2.84,4.03,1.11,3.35,3.21,0.91,0.92,0.41,1.07,0.64,0.59,0.65,0.49,0.48,0.55
b_1,4.1,4.69,4.42,2.15,1.12,3.41,1.31,1.49,0.83,1.07,1.21,0.81,0.99,0.66,0.66,0.91
a_1,6.42,5.39,4.83,5.37,2.54,1.13,1.75,1.62,1.22,1.22,1.36,1.01,2.29,1.11,0.75,1.2
h_1,12.79,9.56,10.6,13.18,11.53,10.21,1.64,3.82,2.49,2.39,2.4,2.16,2.2,2.43,1.52,2.31
g_1,15.55,13.73,13.23,17.39,14.75,12.11,3.13,1.66,3.23,2.65,2.49,2.85,2.52,1.45,2.55,2.47
d_0,14.49,8.79,24.73,15.62,15.41,15.43,3.7,5.81,2.01,2.92,3.18,2.82,3.18,2.46,2.22,2.81
c_0,19.19,13.57,8.24,26.15,17.7,14.17,3.97,4.17,5.05,1.92,3.2,3.08,2.98,2.39,2.3,2.81
b_0,18.13,14.8,12.32,25.74,30.82,17.36,4.95,4.86,4.15,1.86,2.06,3.23,3.13,2.65,2.82,3.26
f_0,31.37,18.44,15.95,20.11,19.32,19.84,5.59,3.47,4.32,3.3,4.67,2.07,4.03,2.92,1.84,4.23
a_0,23.89,18.63,21.07,22.65,32.65,31.56,6.63,6.94,4.5,3.76,2.45,4.68,2.14,3.24,3.03,3.79
h_0,25.4,21.79,21.2,23.31,24.27,17.07,8.56,6.6,5.09,4.89,4.03,4.23,4.6,4.54,2.95,4.07
g_0,32.5,29.24,25.86,30.93,29.18,27.41,6.04,8.0,6.33,6.04,5.89,5.6,5.64,3.32,5.64,5.02
e_0,38.78,32.99,25.28,33.86,27.99,28.53,7.41,7.91,5.53,4.86,6.09,2.51,6.31,4.31,3.48,2.38
