,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.65,0.72,0.89,1.0,0.94,0.85,0.44,0.46,0.44,0.36,0.38,0.44,0.34,0.29,0.3,0.42
f_1,0.98,0.65,0.91,0.94,0.89,0.82,0.37,0.49,0.38,0.32,0.33,0.38,0.33,0.22,0.29,0.27
d_1,1.15,1.0,0.64,0.96,0.91,0.84,0.45,0.31,0.4,0.37,0.36,0.32,0.29,0.27,0.21,0.28
c_1,0.89,1.0,1.09,0.63,1.1,0.79,0.42,0.43,0.26,0.4,0.34,0.33,0.34,0.29,0.28,0.3
b_1,1.12,1.12,1.12,0.72,0.61,1.16,0.46,0.47,0.38,0.49,0.5,0.4,0.38,0.34,0.3,0.32
a_1,1.39,1.33,1.21,1.34,0.74,0.56,0.69,0.53,0.49,0.45,0.55,0.44,0.56,0.4,0.39,0.4
h_1,1.55,1.59,1.52,1.51,1.68,1.13,0.54,0.7,0.58,0.59,0.58,0.52,0.52,0.49,0.46,0.46
g_1,1.55,1.59,1.68,1.63,1.54,1.38,0.63,0.52,0.59,0.62,0.59,0.59,0.56,0.44,0.47,0.56
d_0,1.21,1.59,2.11,1.96,1.75,1.45,0.85,0.93,0.56,0.59,0.63,0.66,0.63,0.54,0.52,0.6
c_0,1.71,2.01,1.22,2.16,1.67,1.6,0.79,0.76,0.85,0.54,0.74,0.64,0.62,0.58,0.45,0.55
b_0,1.69,1.79,1.54,2.16,2.03,1.44,0.8,0.82,0.7,0.45,0.53,0.66,0.7,0.52,0.49,0.63
f_0,1.58,2.26,1.92,1.8,1.81,1.59,0.84,0.6,0.65,0.63,0.64,0.52,0.61,0.58,0.37,0.7
a_0,2.06,2.06,1.98,1.96,2.2,1.81,0.85,0.96,0.77,0.67,0.51,0.72,0.53,0.55,0.56,0.67
h_0,1.95,2.23,1.96,1.96,1.89,1.57,0.97,0.9,0.76,0.68,0.67,0.64,0.7,0.66,0.59,0.64
g_0,2.18,2.1,2.43,2.12,2.21,1.93,0.84,1.01,0.79,0.84,0.77,0.85,0.66,0.54,0.67,0.63
e_0,2.12,2.82,2.47,2.19,2.05,1.74,0.94,0.83,0.72,0.88,0.8,0.51,0.73,0.64,0.59,0.52
