,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.67,2.98,6.67,8.25,5.87,5.52,3.13,2.29,2.31,1.7,2.39,3.0,1.68,,1.92,1.76
f_1,7.25,0.66,4.96,5.26,5.34,5.31,2.19,2.37,2.95,2.5,,1.45,1.3,2.68,1.85,1.81
d_1,5.98,6.17,0.65,5.87,5.67,4.59,2.77,,2.08,2.58,1.87,2.37,1.57,2.95,2.23,1.1
c_1,4.93,8.55,6.24,0.65,7.12,5.2,2.25,1.31,2.13,,2.49,2.35,1.98,1.98,1.97,1.88
b_1,7.07,8.37,6.28,3.63,0.63,8.14,2.96,2.34,2.91,2.69,2.08,,1.93,2.34,1.7,1.61
a_1,6.77,7.24,8.45,8.1,4.52,0.58,3.44,2.61,3.26,3.08,1.78,3.72,2.24,,,2.0
h_1,4.4,5.45,4.71,5.05,4.45,5.03,0.61,1.88,2.49,1.56,2.06,1.83,,1.65,1.49,1.68
d_0,3.11,5.49,,6.36,4.49,4.34,2.14,0.72,2.64,1.69,1.65,1.53,1.07,1.45,1.68,1.31
g_1,6.41,5.31,5.3,7.44,5.54,5.47,1.83,1.73,0.59,2.05,2.43,1.86,1.25,1.75,1.65,
c_0,5.89,3.73,2.89,,4.74,5.72,2.47,2.29,1.97,0.7,2.3,1.94,1.32,1.49,1.5,1.25
f_0,5.92,,5.49,4.09,4.93,6.88,2.37,1.85,1.32,1.6,0.68,2.09,1.51,2.45,2.39,1.09
b_0,4.05,6.81,5.18,5.33,,3.94,2.47,1.82,2.77,1.43,1.75,0.66,1.51,1.88,2.11,1.73
h_0,4.82,5.3,5.03,3.63,4.94,3.46,,1.94,2.33,1.56,1.69,1.69,,0.99,1.49,1.28
e_0,,6.18,5.22,6.16,5.13,,2.27,2.42,2.72,2.44,1.19,2.12,2.9,0.61,,2.12
a_0,8.08,6.48,7.61,6.15,6.89,,2.56,1.84,2.55,2.63,1.71,1.31,1.89,,0.65,1.77
g_0,5.76,5.54,6.18,4.67,5.08,5.38,1.56,2.26,,1.64,2.01,1.6,1.27,1.28,1.44,
