,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.09,1.05,0.88,0.94,0.78,0.66,0.53,0.84,0.7,0.72,0.59,0.62,0.51,0.55,0.49
e_1,0.9,1.0,0.78,1.16,0.94,0.83,0.82,0.75,0.65,0.9,0.69,0.69,0.6,0.61,0.61,0.63
f_1,0.95,1.28,1.0,1.01,0.87,0.77,0.63,0.63,0.57,0.63,0.6,0.58,0.48,0.54,0.52,0.46
c_1,1.17,0.86,0.99,1.0,1.31,0.84,0.76,0.73,0.55,0.46,0.48,0.53,0.61,0.6,0.52,0.62
b_1,1.08,1.06,1.16,0.77,1.0,1.35,0.71,0.71,0.74,0.72,0.68,0.71,0.68,0.65,0.46,0.61
a_1,1.3,1.2,1.25,1.2,0.74,1.0,0.88,0.83,0.84,0.82,0.95,0.84,0.81,0.6,0.81,0.64
h_1,1.49,1.19,1.62,1.32,1.45,1.18,1.0,1.17,0.94,0.84,0.87,0.87,0.86,0.95,0.88,0.81
g_1,1.9,1.35,1.56,1.32,1.46,1.15,0.85,1.0,0.96,0.82,0.92,1.0,0.77,0.87,0.89,0.9
c_0,1.24,1.47,1.74,1.79,1.35,1.15,1.07,1.05,1.0,1.17,1.31,0.93,1.0,0.87,1.07,0.91
d_0,1.47,1.1,1.58,2.08,1.42,1.19,1.15,1.26,0.78,1.0,0.88,0.95,0.94,0.93,0.91,0.99
b_0,1.45,1.41,1.73,2.12,1.46,0.94,1.13,1.05,0.76,1.1,1.0,0.87,1.0,0.89,1.49,0.9
f_0,1.71,1.42,1.65,1.82,1.52,1.24,1.15,1.01,1.11,1.09,1.09,1.0,1.12,0.77,0.95,1.26
h_0,1.68,1.66,2.03,1.61,1.43,1.27,1.14,1.33,1.0,1.06,0.98,0.87,1.0,1.14,0.8,0.89
g_0,1.97,1.6,1.8,1.73,1.63,1.71,1.06,1.16,1.14,1.11,1.08,1.36,0.85,1.0,0.99,1.02
a_0,1.78,1.59,1.89,2.04,2.15,1.35,1.15,1.14,0.95,1.09,0.76,1.02,1.3,1.04,1.0,1.0
e_0,1.88,1.63,2.12,1.68,1.65,1.46,1.26,1.12,1.09,1.05,1.14,0.83,1.17,0.96,1.1,1.0
