,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.9,1.26,1.01,0.98,0.85,0.85,1.02,0.87,1.05,0.97,0.96,0.85,0.98,0.8,1.02
d_1,1.11,1.0,1.03,0.96,0.93,0.97,1.04,0.86,1.24,0.97,1.03,0.97,0.9,1.05,1.05,0.74
e_1,0.79,0.98,1.0,1.15,1.03,1.02,1.05,1.16,0.99,1.41,1.03,1.18,1.11,0.98,1.06,1.12
c_1,0.99,1.02,0.85,1.0,1.42,0.93,0.96,0.98,0.82,0.74,0.81,0.91,1.08,0.91,0.96,1.05
b_1,1.01,1.09,0.99,0.7,1.0,1.41,1.12,0.96,1.08,0.97,1.01,1.03,1.05,0.93,1.06,1.18
a_1,1.17,1.02,1.01,1.08,0.71,1.0,1.14,1.09,1.12,0.96,1.18,1.07,1.18,0.98,1.03,1.07
h_1,1.2,0.98,0.93,1.03,0.88,0.83,1.0,1.18,0.98,0.9,1.02,0.93,1.13,1.07,0.95,1.2
g_1,0.98,1.19,0.85,1.01,1.01,0.92,0.87,1.0,0.95,0.87,0.99,1.21,0.79,0.95,1.01,1.08
c_0,1.14,0.85,0.99,1.3,0.91,0.86,1.05,1.08,1.0,1.14,1.28,1.01,1.05,1.15,0.95,1.01
d_0,0.9,1.07,0.71,1.39,1.0,0.96,1.11,1.1,0.85,1.0,1.1,0.99,0.99,1.02,0.96,1.09
b_0,1.03,0.97,0.97,1.3,0.92,0.81,1.01,1.0,0.78,0.93,1.0,0.96,1.06,1.45,0.91,0.95
f_0,1.02,1.05,0.86,1.12,0.94,0.91,1.06,0.8,0.99,1.08,1.05,1.0,1.07,1.03,1.5,0.82
h_0,1.19,1.08,0.96,0.91,0.93,0.89,0.9,1.24,0.94,0.93,0.94,0.91,1.0,0.9,0.95,1.12
a_0,1.0,0.93,1.02,1.1,1.06,1.01,0.92,1.04,0.86,0.98,0.74,0.96,1.08,1.0,1.0,1.02
e_0,1.22,0.91,1.01,1.03,0.99,0.96,1.08,0.96,1.06,0.98,1.07,0.66,1.07,1.03,1.0,0.94
g_0,0.97,1.32,0.93,0.99,0.83,0.89,0.81,0.97,0.94,0.9,1.0,1.18,0.9,1.01,1.09,1.0
