,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.85,0.9,1.17,0.99,1.0,1.01,1.29,1.08,0.91,1.0,1.07,1.11,1.12,1.26,1.17
f_1,1.17,1.0,0.91,1.08,0.99,1.0,0.74,0.98,1.07,0.91,0.9,0.87,0.84,0.86,0.79,1.06
d_1,1.11,1.12,1.0,0.82,1.01,0.92,1.01,1.09,0.88,1.35,1.08,0.94,1.14,0.94,1.1,0.81
c_1,0.86,0.93,1.23,1.0,1.25,0.9,1.1,0.7,1.01,0.93,0.85,1.03,1.09,1.0,1.01,0.88
b_1,1.02,1.01,0.99,0.79,1.0,1.35,1.12,1.03,0.88,1.03,1.04,0.97,0.88,1.02,1.03,1.13
a_1,0.98,1.01,1.1,1.1,0.75,1.0,1.14,1.15,1.12,1.05,1.23,1.11,1.13,1.01,0.94,1.08
h_1,0.97,1.34,0.97,0.92,0.87,0.86,1.0,0.92,1.1,0.84,1.01,0.86,1.01,0.96,0.78,1.06
d_0,0.77,1.01,0.97,1.44,0.93,0.94,1.1,1.0,1.01,0.86,0.97,1.03,1.0,0.87,0.95,1.18
g_1,0.9,0.92,1.17,0.96,1.14,0.88,0.92,0.98,1.0,0.94,0.96,1.3,0.89,0.96,0.92,1.19
c_0,1.08,1.06,0.78,1.11,0.87,0.96,1.16,1.15,1.05,1.0,1.46,1.12,0.93,1.1,1.05,0.99
b_0,0.95,1.15,0.94,1.16,0.9,0.84,0.99,1.0,1.05,0.7,1.0,0.91,0.99,1.49,1.0,0.95
f_0,0.95,1.09,1.07,0.94,1.07,0.88,1.2,0.94,0.84,0.9,1.05,1.0,0.91,1.11,1.56,0.82
h_0,0.9,1.14,0.91,0.9,1.05,0.92,0.99,0.98,1.12,1.02,0.97,1.1,1.0,0.91,0.9,1.13
a_0,0.94,1.13,1.08,1.05,0.94,1.12,1.05,1.09,1.11,0.95,0.7,0.91,1.09,1.0,1.05,1.08
e_0,0.88,1.26,0.93,1.03,0.95,1.05,1.28,1.05,1.0,0.96,1.08,0.7,1.1,0.96,1.0,1.02
g_0,0.86,0.91,1.24,1.12,0.92,0.95,0.92,0.83,0.85,0.93,1.08,1.22,0.85,0.93,0.98,1.0
