,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.32,0.88,0.69,0.96,0.77,0.74,1.64,2.79,1.35,1.7,1.62,1.6,1.98,1.46,1.86,0.91
f_1,1.55,2.4,0.77,0.83,0.64,0.48,1.22,1.9,1.24,1.69,1.6,0.95,1.96,1.39,1.73,0.77
d_1,0.82,0.94,2.44,0.66,0.73,0.62,1.63,1.25,1.31,2.88,1.91,1.74,2.31,1.52,2.04,1.63
c_1,0.8,0.83,0.79,2.44,1.34,0.7,1.43,1.63,1.13,0.91,1.16,1.32,2.14,1.16,1.72,1.4
b_1,0.76,0.8,0.83,0.81,2.55,1.24,1.44,1.51,1.23,1.6,1.01,1.76,1.99,0.93,1.6,1.54
a_1,0.73,0.83,0.94,0.96,0.9,3.06,1.47,1.75,1.28,1.9,1.64,1.78,2.2,1.09,1.86,1.36
h_1,0.85,1.27,1.03,0.84,0.72,0.56,3.38,1.91,1.88,1.8,1.53,1.71,1.67,1.71,3.21,1.52
d_0,0.92,0.94,0.63,1.66,0.92,0.7,1.43,3.02,1.26,1.25,1.55,1.59,2.52,1.35,1.92,1.24
g_1,0.83,0.77,1.35,0.95,0.81,0.61,1.54,1.61,3.75,1.82,1.77,2.84,2.24,1.74,1.97,1.79
c_0,1.01,1.04,0.94,0.79,0.71,0.75,1.65,2.12,1.64,3.02,3.5,1.99,2.65,2.06,2.45,1.55
b_0,1.11,1.03,0.93,1.02,0.63,0.4,1.96,1.91,1.83,1.7,3.31,1.98,2.84,3.46,2.16,1.3
f_0,0.67,0.68,1.2,1.04,0.9,0.74,1.73,1.9,1.7,1.76,1.75,3.3,2.65,1.58,2.45,3.71
h_0,0.97,1.29,0.97,0.91,0.92,0.6,1.16,1.66,1.98,1.66,1.75,1.72,1.85,1.54,2.58,1.53
a_0,0.88,1.18,1.1,0.96,0.69,0.37,2.02,1.95,1.7,1.96,1.97,2.12,3.02,3.65,2.91,1.44
g_0,0.77,0.84,1.65,0.9,0.89,0.68,1.44,1.38,1.17,1.87,1.67,2.78,2.29,1.26,1.93,1.8
e_0,0.66,1.14,1.15,0.96,0.84,0.62,2.01,1.66,1.73,1.91,1.94,1.89,2.61,1.57,2.62,3.63
