,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.66,0.69,0.99,1.09,0.93,0.78,0.44,0.44,0.37,0.41,0.4,0.36,0.33,0.28,0.35,0.29
f_1,1.04,0.65,0.95,1.02,0.87,0.83,0.35,0.41,0.33,0.35,0.37,0.32,0.31,0.22,0.27,0.28
d_1,1.03,1.05,0.64,0.87,0.94,0.85,0.44,0.34,0.38,0.4,0.32,0.37,0.33,0.26,0.35,0.2
c_1,0.85,1.01,1.23,0.62,1.1,0.92,0.46,0.44,0.38,0.24,0.35,0.32,0.34,0.32,0.35,0.29
b_1,1.05,1.17,1.1,0.68,0.61,1.17,0.48,0.46,0.46,0.35,0.41,0.44,0.39,0.33,0.34,0.32
a_1,1.27,1.27,1.16,1.13,0.72,0.57,0.56,0.6,0.45,0.56,0.46,0.56,0.52,0.38,0.5,0.38
h_1,1.51,1.64,1.46,1.47,1.48,1.29,0.54,0.77,0.53,0.57,0.57,0.54,0.52,0.53,0.49,0.47
g_1,1.54,1.86,1.73,1.64,1.56,1.3,0.59,0.53,0.6,0.59,0.66,0.56,0.55,0.43,0.57,0.51
c_0,1.78,1.92,1.26,2.3,1.73,1.47,0.82,0.77,0.54,0.81,0.63,0.77,0.68,0.54,0.63,0.49
d_0,1.31,1.66,2.1,2.09,1.81,1.48,0.84,0.86,0.66,0.55,0.61,0.62,0.64,0.58,0.65,0.53
f_0,1.75,2.31,1.72,1.91,1.62,1.51,0.86,0.62,0.69,0.73,0.52,0.66,0.65,0.53,0.67,0.41
b_0,1.84,1.99,1.53,2.34,2.11,1.5,0.76,0.87,0.45,0.72,0.64,0.53,0.69,0.61,0.56,0.51
a_0,1.95,2.03,2.01,1.99,2.53,1.93,1.01,0.96,0.63,0.71,0.71,0.45,0.5,0.64,0.51,0.52
h_0,2.06,2.29,2.16,1.99,1.8,1.56,0.99,0.89,0.7,0.68,0.75,0.69,0.7,0.64,0.64,0.65
e_0,2.33,2.62,1.95,2.07,2.1,1.68,0.97,0.91,0.73,0.74,0.49,0.75,0.78,0.66,0.52,0.55
g_0,2.25,2.29,2.21,2.36,2.08,1.79,0.86,0.99,0.73,0.78,0.86,0.72,0.75,0.53,0.71,0.66
