,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.46,36.92,33.71,27.66,28.49,30.93,5.6,4.62,10.73,6.29,10.78,,3.28,6.04,6.59,5.33
e_1,19.5,0.45,31.58,34.77,21.3,38.03,11.02,5.34,11.47,8.18,5.6,7.02,4.33,9.5,,5.74
d_1,40.99,29.53,0.43,34.17,35.08,26.91,7.59,,6.63,8.36,6.21,5.59,6.03,6.81,7.17,2.62
c_1,28.44,35.49,43.97,0.42,31.88,44.12,12.2,3.05,8.16,,8.9,7.76,6.39,6.62,9.45,4.48
b_1,41.47,37.69,43.67,25.52,0.39,,12.72,10.14,8.69,7.76,,4.55,4.63,,,3.13
a_1,90.53,38.93,34.27,39.38,,0.33,11.23,13.14,,14.12,12.14,10.58,4.39,,,6.71
h_1,14.28,17.18,17.87,16.86,17.21,26.34,0.38,4.0,8.0,2.67,2.96,3.87,,2.3,2.56,2.92
d_0,13.01,9.53,,12.05,15.37,12.67,4.35,0.51,4.4,4.23,3.49,2.62,1.73,3.25,2.06,2.61
g_1,16.41,19.97,22.61,33.34,18.15,,3.47,6.45,0.33,4.16,3.07,4.16,2.94,3.37,3.2,
c_0,17.43,13.49,8.15,,22.25,13.24,3.86,4.22,4.41,0.48,3.01,3.06,1.92,2.98,2.84,3.36
b_0,15.53,25.76,15.93,19.42,,18.88,5.78,4.06,3.39,1.97,0.46,3.27,1.95,3.79,3.79,1.95
f_0,,19.42,17.73,15.54,23.13,13.91,6.98,4.12,3.06,4.01,2.69,0.45,2.93,3.1,2.91,1.5
h_0,11.28,15.64,13.82,9.4,16.38,10.68,,2.59,4.06,2.0,2.17,2.83,,3.29,2.42,2.43
a_0,31.35,22.75,14.84,23.06,,,5.94,4.49,5.9,3.97,2.18,4.58,2.26,0.38,,2.22
e_0,27.66,,19.78,26.14,,,4.65,4.06,4.59,3.78,3.32,1.77,2.16,,0.38,
g_0,20.6,14.95,18.19,20.03,16.14,10.43,2.81,2.45,,2.36,4.14,3.37,2.08,2.74,,
