,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.33,0.81,0.95,0.77,0.67,0.39,0.4,0.39,0.38,0.42,0.38,0.27,0.31,0.24,0.34
e_1,0.75,1.0,1.12,0.83,0.83,0.75,0.48,0.59,0.52,0.4,0.43,0.38,0.43,0.32,0.38,0.27
c_1,1.24,0.9,1.0,1.05,1.31,0.69,0.48,0.34,0.46,0.29,0.4,0.34,0.39,0.28,0.31,0.37
d_1,1.05,1.2,0.95,1.0,0.81,0.72,0.59,0.49,0.37,0.58,0.45,0.44,0.37,0.34,0.33,0.26
b_1,1.3,1.21,0.77,1.24,1.0,1.31,0.51,0.53,0.51,0.43,0.44,0.47,0.42,0.36,0.4,0.33
a_1,1.5,1.33,1.44,1.38,0.77,1.0,0.63,0.7,0.53,0.57,0.51,0.56,0.5,0.4,0.4,0.43
h_1,2.59,2.04,2.05,1.78,1.89,1.58,1.0,0.8,1.12,0.99,0.68,0.72,0.76,0.55,0.58,0.69
d_0,2.6,1.67,3.15,2.22,1.87,1.45,1.25,1.0,1.0,1.01,1.1,0.92,0.87,0.56,0.6,1.1
g_1,2.51,2.03,2.29,2.7,1.99,1.9,0.88,0.98,1.0,0.74,1.2,0.85,0.68,0.82,0.77,0.85
c_0,2.71,2.49,2.97,1.67,2.39,1.71,1.03,0.97,1.33,1.0,0.94,1.32,0.88,0.79,0.88,0.71
f_0,2.72,2.02,2.58,2.31,2.28,1.99,1.44,0.91,0.82,1.07,1.0,0.99,0.85,1.15,0.77,0.73
b_0,2.75,2.6,3.02,2.06,2.08,1.83,1.35,1.08,1.19,0.79,1.0,1.0,0.82,0.72,1.04,0.74
h_0,3.97,2.32,2.56,2.52,2.33,2.01,1.46,1.12,1.44,1.1,1.09,1.2,1.0,0.85,0.79,0.96
e_0,3.18,3.03,3.67,2.48,3.22,2.21,1.85,1.84,1.28,1.22,0.9,1.43,1.18,1.0,1.04,1.08
a_0,4.25,2.68,3.3,3.2,2.71,2.52,1.71,1.62,1.27,1.16,1.24,0.95,1.3,1.0,1.0,1.17
g_0,2.96,3.57,2.74,3.78,2.85,2.38,1.44,0.95,1.16,1.45,1.31,1.32,1.05,0.93,0.89,1.0
