,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.14,10.92,10.08,11.77,10.88,9.79,2.69,2.14,2.41,4.46,2.54,10.98,2.04,1.38,2.34,2.11
e_1,6.15,1.14,14.08,11.95,11.81,16.87,3.04,2.51,2.19,3.85,2.52,3.01,2.75,1.66,12.0,1.98
d_1,15.88,14.56,1.14,13.46,10.76,12.01,4.25,2.08,11.51,2.12,2.19,2.6,2.43,1.64,2.89,1.22
c_1,13.71,13.23,17.52,1.14,14.4,11.74,3.37,9.59,1.33,3.18,2.43,2.19,3.04,1.91,2.7,1.47
b_1,12.86,15.39,14.27,7.27,1.15,15.98,5.76,3.28,2.94,4.64,18.11,2.46,2.68,2.58,2.13,2.58
a_1,23.4,20.8,21.6,23.81,10.26,1.15,5.96,4.41,4.88,5.08,4.05,3.54,12.71,2.38,4.74,2.7
h_1,26.39,24.43,25.23,30.05,32.89,22.37,1.89,5.57,6.1,10.71,5.26,4.87,4.28,11.17,4.13,3.25
c_0,33.75,34.59,14.02,103.17,36.63,34.27,8.29,2.66,9.24,9.28,6.86,6.02,6.08,4.37,5.12,4.47
d_0,39.44,14.93,121.31,34.39,31.46,34.84,9.3,8.08,2.67,10.88,7.33,8.24,5.68,4.37,7.68,6.09
g_1,33.43,30.12,36.25,36.85,33.26,32.69,7.29,6.36,7.71,1.94,6.65,6.67,6.45,4.06,6.0,10.15
b_0,28.77,30.65,27.19,48.36,144.7,34.84,8.13,3.67,8.07,10.55,2.53,7.27,7.85,4.52,6.4,4.65
f_0,106.36,34.94,38.0,31.26,49.9,40.09,9.95,9.99,8.36,7.1,7.76,2.65,8.47,6.09,6.98,3.49
a_0,57.54,49.21,43.21,55.27,68.9,177.08,11.13,6.91,14.04,11.8,5.09,10.98,2.84,7.73,10.97,8.82
h_0,71.63,47.22,45.71,75.49,56.75,41.67,31.33,10.57,13.25,13.65,10.87,10.57,9.0,18.27,8.0,9.85
e_0,83.57,205.53,50.87,53.36,49.05,46.2,14.84,10.57,11.7,15.47,13.58,4.83,12.0,6.59,2.67,7.61
g_0,81.63,68.51,50.87,103.17,60.29,57.43,14.84,11.98,15.95,38.67,13.04,11.2,11.68,7.73,10.67,22.33
