,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.17,0.38,0.73,0.76,0.7,0.67,0.21,0.18,0.13,0.14,0.15,0.16,0.11,0.37,0.12,0.15
f_1,0.64,0.17,0.58,0.61,0.71,0.65,0.13,0.21,0.14,0.13,0.22,0.15,0.08,0.13,0.13,0.12
d_1,0.83,0.71,0.16,0.73,0.69,0.52,0.19,0.12,0.11,0.31,0.14,0.11,0.08,0.12,0.06,0.1
c_1,0.48,0.73,0.79,0.15,0.69,0.66,0.18,0.23,0.26,0.07,0.11,0.14,0.09,0.11,0.09,0.13
b_1,0.66,0.81,0.72,0.34,0.12,0.64,0.23,0.28,0.17,0.14,0.14,0.28,0.11,0.13,0.1,0.15
a_1,0.85,0.72,0.65,0.66,0.34,0.1,0.21,0.17,0.14,0.14,0.16,0.19,0.09,0.13,0.11,0.34
h_1,0.53,0.56,0.51,0.51,0.46,0.46,0.06,0.14,0.11,0.13,0.11,0.11,0.13,0.1,0.07,0.09
g_1,0.52,0.56,0.54,0.61,0.53,0.45,0.11,0.05,0.1,0.12,0.13,0.11,0.06,0.1,0.11,0.11
c_0,0.59,0.52,0.28,1.09,0.59,0.52,0.17,0.13,0.06,0.17,0.12,0.11,0.08,0.1,0.08,0.14
d_0,0.29,0.55,0.92,0.53,0.57,0.58,0.15,0.17,0.11,0.06,0.1,0.12,0.07,0.14,0.1,0.12
f_0,0.46,0.86,0.5,0.56,0.52,0.49,0.16,0.1,0.09,0.11,0.05,0.11,0.08,0.1,0.04,0.1
b_0,0.46,0.51,0.44,0.72,1.14,0.6,0.14,0.14,0.06,0.13,0.1,0.05,0.07,0.1,0.08,0.1
h_0,0.5,0.53,0.44,0.5,0.58,0.42,0.23,0.18,0.12,0.11,0.11,0.11,0.12,0.1,0.08,0.1
e_0,0.85,0.7,0.49,0.55,0.37,0.55,0.12,0.13,0.08,0.11,0.05,0.09,0.09,0.04,0.05,0.11
g_0,0.45,0.6,0.5,0.53,0.54,0.51,0.13,0.2,0.11,0.11,0.1,0.1,0.06,0.1,0.09,0.11
a_0,0.5,0.55,0.52,0.49,0.57,1.17,0.17,0.13,0.09,0.13,0.11,0.05,0.07,0.12,0.08,0.04
