,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.88,1.45,1.18,1.45,3.39,20.97,36.8,29.74,35.96,46.39,58.3,83.23,88.97,113.08,129.06
f_1,1.16,1.0,1.15,1.08,1.28,3.3,15.82,26.83,28.62,33.39,43.54,45.12,73.9,69.82,90.67,118.23
c_1,0.68,0.86,1.0,1.15,1.4,2.82,16.12,15.65,25.66,29.87,35.48,41.84,58.81,70.76,97.03,103.27
d_1,0.82,0.96,0.83,1.0,1.08,2.64,16.86,21.1,33.23,25.48,41.41,40.52,66.0,70.08,88.74,76.67
b_1,0.68,0.78,0.73,0.92,1.0,3.47,15.02,17.92,25.3,24.6,30.41,34.29,55.22,64.15,82.35,93.18
a_1,0.29,0.3,0.36,0.38,0.29,1.0,6.02,8.07,8.75,10.93,12.31,14.56,26.44,23.98,36.83,40.19
h_1,0.05,0.06,0.06,0.06,0.07,0.17,1.0,1.32,1.44,1.93,2.32,2.44,4.05,4.28,5.28,6.48
d_0,0.03,0.04,0.06,0.05,0.06,0.12,0.72,1.0,1.02,1.57,1.53,1.81,2.88,3.28,4.19,4.51
c_0,0.03,0.03,0.04,0.03,0.04,0.11,0.68,0.96,1.0,1.17,1.82,1.77,2.66,2.65,3.24,3.46
g_1,0.03,0.03,0.03,0.04,0.04,0.1,0.51,0.64,0.88,1.0,1.26,1.64,2.23,2.03,3.39,3.26
b_0,0.02,0.02,0.03,0.02,0.03,0.09,0.45,0.63,0.55,0.82,1.0,1.08,2.27,1.74,2.5,2.72
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.42,0.54,0.57,0.62,0.98,1.0,1.73,1.84,3.09,1.98
a_0,0.01,0.01,0.02,0.02,0.02,0.04,0.26,0.34,0.38,0.46,0.44,0.61,1.0,1.11,1.31,1.56
h_0,0.01,0.01,0.01,0.01,0.02,0.04,0.24,0.3,0.38,0.49,0.56,0.56,0.88,1.0,1.37,1.72
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.19,0.24,0.29,0.3,0.4,0.33,0.75,0.73,1.0,1.1
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.16,0.21,0.28,0.3,0.36,0.48,0.63,0.59,0.85,1.0
