,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,15.28,1.32,0.5,0.64,0.5,0.44,0.81,0.75,0.69,0.76,0.87,0.38,0.83,0.83,0.68,0.73
e_1,0.59,15.24,0.52,0.62,0.57,0.51,1.08,0.8,1.95,0.94,1.02,1.06,1.12,0.94,0.52,1.0
d_1,0.51,0.48,18.83,0.44,0.55,0.61,0.82,1.03,0.39,2.19,1.14,1.06,1.1,1.05,1.2,1.13
c_1,0.64,0.56,0.48,17.64,1.35,0.44,0.64,0.73,0.76,0.27,0.49,0.86,0.89,0.84,0.81,0.78
b_1,0.52,0.42,0.55,0.55,21.43,1.63,1.14,0.74,0.98,0.79,0.38,0.95,0.68,0.65,0.82,0.89
a_1,0.68,0.49,0.56,0.66,0.41,31.49,0.99,0.83,0.93,0.83,0.93,0.9,0.82,0.48,1.07,0.79
h_1,1.35,0.59,0.83,0.55,0.62,0.66,4.55,1.88,1.23,1.03,1.28,1.12,0.76,0.98,1.18,1.69
g_1,0.61,0.54,1.52,0.73,0.61,0.65,0.94,5.92,0.84,1.16,1.32,1.9,1.31,1.12,1.18,0.81
d_0,0.74,0.58,0.32,2.36,0.81,0.63,1.0,1.13,2.84,0.76,1.22,1.1,1.22,1.16,1.47,1.36
c_0,0.69,0.58,1.03,0.42,0.53,0.58,1.26,1.69,1.23,3.47,4.57,1.32,1.92,1.75,1.31,1.59
b_0,0.81,0.73,0.98,0.72,0.28,0.45,1.25,1.35,1.16,1.18,3.94,1.31,1.53,3.5,1.46,1.31
f_0,0.44,0.46,1.05,0.87,0.64,0.77,1.27,1.06,1.61,1.27,1.4,4.14,1.47,1.46,3.18,1.62
h_0,1.16,0.72,1.02,0.75,0.56,0.6,0.57,1.53,1.2,1.02,1.3,1.0,0.71,1.33,1.07,1.66
a_0,0.83,0.7,1.01,0.86,0.69,0.37,1.16,1.32,1.21,1.1,1.28,1.52,1.67,4.08,1.6,1.64
e_0,0.94,0.42,0.79,0.87,0.66,0.66,1.04,1.25,1.28,1.58,1.48,1.23,1.77,1.57,5.32,1.57
g_0,0.52,0.58,1.72,0.82,0.61,0.75,0.86,0.81,1.07,1.11,1.19,2.7,1.06,1.3,1.55,0.71
