,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.31,0.24,0.22,0.29,0.3,0.27,0.61,0.89,0.5,0.55,0.71,0.48,0.84,0.63,0.8,
f_1,0.44,2.34,0.29,0.28,0.31,0.31,0.51,0.59,0.66,0.45,0.66,,0.67,0.64,0.65,
d_1,0.27,0.27,2.5,0.27,0.24,0.28,0.53,,0.97,0.58,0.53,0.64,0.93,0.56,0.78,0.52
c_1,0.29,0.29,0.25,2.61,0.45,0.24,0.66,0.69,,0.48,0.48,0.53,0.66,0.75,0.75,0.65
b_1,0.28,0.28,0.31,0.21,2.8,0.34,0.58,0.78,0.76,,,0.43,0.74,0.53,0.64,0.76
a_1,0.25,0.29,0.28,0.26,0.26,3.29,0.52,0.71,0.74,0.66,0.63,,0.8,,0.71,
h_1,0.53,0.68,0.46,0.47,0.56,0.69,3.68,1.22,1.05,1.29,1.15,1.38,,0.87,1.97,1.15
d_0,0.6,0.62,,0.91,0.54,0.53,1.22,3.35,1.43,1.23,1.38,1.68,2.2,1.05,1.48,1.59
c_0,0.65,0.61,0.62,,0.49,0.56,1.51,1.23,3.53,1.04,2.27,1.5,1.43,1.35,1.84,
g_1,0.6,0.49,0.75,0.58,,0.43,0.86,1.03,1.31,4.47,1.11,1.92,1.13,,,
b_0,0.54,0.61,0.68,0.53,,0.52,1.34,1.29,1.08,1.23,3.74,1.66,2.0,2.4,1.85,1.27
f_0,0.53,,0.71,0.73,0.8,,1.21,1.46,1.4,1.17,1.13,3.88,1.7,1.39,1.34,2.83
h_0,0.74,1.01,0.68,0.82,0.71,0.76,,1.48,1.77,1.99,1.89,1.39,,1.22,2.59,1.63
a_0,0.68,0.64,0.75,0.45,0.73,,1.47,1.82,1.1,,0.97,1.49,1.88,4.79,1.56,
g_0,0.51,0.7,0.95,0.81,0.79,0.76,0.99,1.61,1.84,,1.71,2.75,2.13,1.8,,1.64
e_0,,,0.76,0.84,0.55,,1.15,1.0,,,1.27,1.13,1.94,,2.1,4.97
