,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.17,0.62,0.6,0.68,0.64,0.56,0.13,0.18,0.16,0.13,0.26,0.14,0.07,0.12,0.12,0.13
e_1,0.38,0.17,0.71,0.71,0.66,0.72,0.23,0.21,0.15,0.14,0.19,0.18,0.1,0.16,0.32,0.11
d_1,0.73,0.77,0.16,0.65,0.67,0.59,0.18,0.13,0.34,0.12,0.11,0.11,0.09,0.1,0.14,0.06
c_1,0.68,0.58,0.77,0.14,0.65,0.76,0.18,0.19,0.07,0.23,0.12,0.12,0.1,0.14,0.12,0.09
b_1,0.76,0.55,0.78,0.36,0.13,0.66,0.21,0.22,0.13,0.18,0.13,0.32,0.12,0.13,0.13,0.09
a_1,0.73,0.81,0.71,0.85,0.31,0.09,0.17,0.18,0.13,0.18,0.16,0.19,0.11,0.33,0.13,0.1
h_1,0.54,0.56,0.54,0.57,0.44,0.42,0.06,0.15,0.13,0.11,0.1,0.11,0.12,0.1,0.08,0.09
g_1,0.56,0.54,0.51,0.52,0.53,0.44,0.12,0.05,0.11,0.12,0.11,0.1,0.05,0.12,0.12,0.1
d_0,0.56,0.3,0.86,0.61,0.48,0.66,0.15,0.17,0.06,0.12,0.11,0.11,0.08,0.11,0.08,0.1
c_0,0.57,0.53,0.27,1.36,0.6,0.52,0.2,0.15,0.18,0.06,0.1,0.12,0.08,0.12,0.12,0.06
f_0,0.91,0.45,0.45,0.51,0.58,0.51,0.18,0.11,0.09,0.11,0.05,0.1,0.08,0.11,0.1,0.05
b_0,0.48,0.48,0.42,0.8,1.11,0.49,0.16,0.15,0.12,0.05,0.14,0.05,0.07,0.13,0.08,0.07
h_0,0.51,0.47,0.43,0.62,0.5,0.42,0.27,0.18,0.13,0.1,0.11,0.09,0.11,0.09,0.08,0.08
a_0,0.48,0.51,0.45,0.57,0.76,1.12,0.16,0.12,0.11,0.08,0.12,0.05,0.07,0.04,0.1,0.06
e_0,0.62,0.78,0.46,0.45,0.49,0.49,0.15,0.13,0.15,0.09,0.05,0.11,0.1,0.1,0.04,0.06
g_0,0.59,0.49,0.49,0.55,0.55,0.47,0.11,0.23,0.12,0.09,0.09,0.09,0.05,0.08,0.1,0.11
